name,score,category,price,address,province,review count,description images
Chùa Thiên Mụ,4.5,Chùa phật giáo,Miễn phí,"Huế, Hương Hòa, Huế, Thừa Thiên Huế 530000",Thừa Thiên Huế,14.856,"https://lh3.googleusercontent.com/p/AF1QipM5wTD3RI0kJLKIy7sBU_M62Kb_tJsa3kR6M3vZ, https://lh3.googleusercontent.com/p/AF1QipOp46J3PwJO_m0ve32OWRpksJit2XQemytcAbVs, "
Lăng Khải Định,4.4,Bảo tàng địa danh lịch sử,Không có giá,"xã Thủy Bằng, huyện Hương Thuỷ Huế Thua Thien-Hue Province, 530000",Thừa Thiên Huế,12.982,"https://lh3.googleusercontent.com/p/AF1QipM5wTD3RI0kJLKIy7sBU_M62Kb_tJsa3kR6M3vZ, https://lh3.googleusercontent.com/p/AF1QipOp46J3PwJO_m0ve32OWRpksJit2XQemytcAbVs, "
Hoàng Thành Huế,4.4,Điểm thu hút khách du lịch,Không có giá,"FH9G+PX2, Lê Huân, Phú Hậu, Huế, Thừa Thiên Huế",Thừa Thiên Huế,540,"https://lh3.googleusercontent.com/p/AF1QipNp5Wt28b0ptaQh4_6MOu7Dg8KKxzf9y6xqC9TP, https://lh3.googleusercontent.com/p/AF1QipMa0cH_WcaJE5M4lPO8YtlwlQRyPDKb-BNqOBKU, "
Lăng Tự Đức,4.5,Điểm mốc lịch sử,Không có giá,"Cầu Đông Ba, thôn Thượng, Huế, Thừa Thiên Huế 530000",Thừa Thiên Huế,7.484,"https://lh3.googleusercontent.com/p/AF1QipMF9WOVQt78sxBzu1dWFyVBy08c-A3j4vsYzbRY, https://lh3.googleusercontent.com/p/AF1QipMHb8K5msS77PHlnyWFKATHKEGn4uglhdQO3v3B, "
Lăng Minh Mạng,4.5,Điểm mốc lịch sử,150.000 ₫,"Hương Thọ, Hương Trà, Thừa Thiên Huế",Thừa Thiên Huế,4.610,"https://lh3.googleusercontent.com/p/AF1QipNTQ9DMO3FPqIwCc0guItk7FKLiDi-pRdMOkej4, https://lh3.googleusercontent.com/p/AF1QipNQiG9Q1n0T44EqZxAwtD92Pj_TmS-99_y8keEk, "
Đồi Vọng Cảnh,4.6,Công viên,Miễn phí,"102 Huyền Trân Công Chúa, Thủy Biều, Huế, Thừa Thiên Huế",Thừa Thiên Huế,1.783,"https://lh3.googleusercontent.com/p/AF1QipNFyPUd3BcaIWzNfPp6taGneOBDw-stfEkkVj8D, https://lh3.googleusercontent.com/p/AF1QipPTizhsea1pICzeqTcuMfMBBrWr7vj-F6-5_VjV, "
Chợ Đông Ba,4.2,Chợ,Không có giá,"Phú Hoà, Huế, Thừa Thiên Huế",Thừa Thiên Huế,1.981,"https://lh3.googleusercontent.com/p/AF1QipOUftJU4vpnjjPgKbJTFIi22Psqcb4eZWCtJO8w, https://lh3.googleusercontent.com/p/AF1QipNHE0itv4YlDaVyVuDVI0694iqOFZRAA1_5WlQN, "
Cầu Trường Tiền,4.7,Cầu,Không có giá,"Phú Hoà, Huế, Thừa Thiên Huế",Thừa Thiên Huế,176,"https://lh3.googleusercontent.com/p/AF1QipO03mKtHTAlo0dLBKd6AGwhMjsT4JXo3mrHvkqt, https://lh3.googleusercontent.com/p/AF1QipMyZM_VLwOvnbGO5VuVVXM8TyFSh1E7iLA9TC8L, "
Trường THPT chuyên Quốc Học Huế,4.8,Trường trung học phổ thông,Không có giá,Không có địa chỉ cụ thể,Thừa Thiên Huế,không có đánh giá,"https://lh3.googleusercontent.com/p/AF1QipPeu96XckiGnAq1Ci0_Ls-i_i1W9WgH7ZTFacjj, https://lh3.googleusercontent.com/p/AF1QipOjvP1bj47gLEhP1idgqLCbe9i3PtpVRJCL0lXE, "
Vườn Quốc Gia Bạch Mã,4.6,Công viên quốc gia,Không có giá,"6V8V+GFW, Lộc Trì, Phú Lộc, Thừa Thiên Huế",Thừa Thiên Huế,76,"https://lh3.googleusercontent.com/p/AF1QipO5Tf8EPcax7JC4XheYg-RPDd_RTK_uAEsxh-vH, https://lh3.googleusercontent.com/p/AF1QipO_F1-2E3Ok9fRDMpz7qQ_QzT-kae0P-kl1SwBh, "
