name,address,score,reviews count,province,category,price,services,description images,latitude,longitude
Bà Nà Hills,"Thôn An Sơn, Hòa Vang, Đà Nẵng, Việt Nam","4,6",23.669,Đà Nẵng,Điểm thu hút khách du lịch,"23,32 US$",,"https://lh5.googleusercontent.com/p/AF1QipMW717XyWoWQH5nR6KQ1ukbcSczJNGcbU-On08r, https://lh5.googleusercontent.com/p/AF1QipNrLb7hH3kajmGzKzqVUoNZLql52gCEiwlfiOLO, https://lh5.googleusercontent.com/p/AF1QipNGGgGnvBQPQK3BfbLZh4-qp2iQneb62WaXc1Ug, https://lh5.googleusercontent.com/p/AF1QipPVfpV9wXe-Zi0BOVPaGdqRg05GrcFDct-vAiSR, ",15.99514,107.99614
Ngũ Hành Sơn,"81 Huyền Trân Công Chúa, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,3",29.855,Đà Nẵng,Thắng cảnh,"1,58 US$",,"https://lh5.googleusercontent.com/p/AF1QipNmJMBLOr_XhO6GI84xA6BLVnVKfI5LhooX3L03, https://lh5.googleusercontent.com/p/AF1QipPVRj4L236O8JqwQc3DwXX3SRQnTvzccluzrYCH, https://lh5.googleusercontent.com/p/AF1QipMh3tk5Gge3A80FL6znXA8LyfwY3BEfi4eMaNxt, https://lh5.googleusercontent.com/p/AF1QipN7tTLhetAREbmJyYQQ00GQfycs1q60GT_5hIZX, ",16.00348,108.26458
DA NANG DOWNTOWN,"Đ. 2 Tháng 9, Hoà Cường Bắc, Hải Châu, Đà Nẵng 550000, Việt Nam","4,4",10.730,Đà Nẵng,Công viên giải trí,"5,93 US$",,"https://lh5.googleusercontent.com/p/AF1QipPJl_jJia1ULs-ybReLaXoeMDnF9aFC6-64AK5V, https://lh5.googleusercontent.com/p/AF1QipOJ0OVGjyd0FQV26pLDGjQtdkpU57CD2LW6lnaO, https://lh5.googleusercontent.com/p/AF1QipNlvy3GhKRmin2hDPVa23nkQp7cv4kHjiJOmd8T, https://lh5.googleusercontent.com/p/AF1QipP34GjMZQ51-04iC4XENbAPDiis-JntKOK8hbTJ, ",16.04121,108.22563
Bảo tàng Điêu khắc Chăm Đà Nẵng,"Số 02 Đ. 2 Tháng 9, Bình Hiên, Hải Châu, Đà Nẵng 550000, Việt Nam","4,2",6.518,Đà Nẵng,Bảo tàng điêu khắc,"2,37 US$",,"https://lh5.googleusercontent.com/p/AF1QipP2_3hvvbCiLyt3w_uXrFud-A-VDTXj6L-hBfn8, https://lh5.googleusercontent.com/p/AF1QipPsPSlOMLjOJBqL8dXiVJhfY-cw-0Iy2e0gQsHl, https://lh5.googleusercontent.com/p/AF1QipOPgHaMxM8ZDduSYL2x_NjkI7YlPmrk7CsnYKH1, https://lh5.googleusercontent.com/p/AF1QipM_I-RGArVvNxN624jPPaZVe4oQ0nNmX2Bx73vg, ",16.06030,108.22327
Hòa Phú Thành Tourist - Trượt thác Đà Nẵng,"Hoà Phú, Hòa Vang, Đà Nẵng, Việt Nam","4,4",1.439,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipNraqb0MOe9zHaofPlE1_fAtopMolFb6ej_raK-, https://lh5.googleusercontent.com/p/AF1QipO12KqXm7-Kk2uyOefE3gr1TbBdYYyiOQyXbs5z, https://lh5.googleusercontent.com/p/AF1QipNKb92DY_Q_X56fzXd5CriNTO6S_UDrpXUiAImY, https://lh5.googleusercontent.com/p/AF1QipM3QpKN5LkmmC_COoMJd9D3pe_SJm9t8Cw8lIl-, ",15.95776,107.99170
Cầu Tình Yêu Đà Nẵng,"Đ. Trần Hưng Đạo, An Hải, Sơn Trà, Đà Nẵng 550000, Việt Nam","4,5",3.295,Đà Nẵng,Điểm thu hút khách du lịch,Miễn phí,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipNYUP3dFqsIA5-hhiuCG88HL9_cAqi8O-WgzVrC, https://lh5.googleusercontent.com/p/AF1QipPrSloLKQ5nnb-6CcTN5TUslDseLHsHcSyf_JF1, https://lh5.googleusercontent.com/p/AF1QipOZMbXrniDySemY3wfQd48486_sE6hfG36fIcHn, https://lh5.googleusercontent.com/p/AF1QipPV6sqtoQOB4WUjVLmrq4WlZcp_THZP91fhGk83, ",16.06321,108.22959
Vòng quay Mặt Trời (Sun Wheel),"1 Phan Đăng Lưu, Hoà Cường Bắc, Hải Châu, Đà Nẵng, Việt Nam","4,5",5.075,Đà Nẵng,Vòng đu quay,"5,93 US$",,"https://lh5.googleusercontent.com/p/AF1QipNTyTom81bY_jejOimK6XVT1KUqfe_rlvtILAWr, https://lh5.googleusercontent.com/p/AF1QipOxUTDCbrixeT6PeruKYt7qj8rxD2FNiz4Hqngh, https://lh5.googleusercontent.com/p/AF1QipPwN5a4eT16FhK-76MJr2c_rOr8sxgX_gnxY7Fl, https://lh5.googleusercontent.com/p/AF1QipN0TnPpVXRLk4zvlUqZGcbpADNVpMbiZZPhU1up, ",16.04016,108.22852
Ghềnh Bàng,"Hoàng Sa, Thọ Quang, Sơn Trà, Vietnam, Đà Nẵng, Việt Nam","4,5",776,Đà Nẵng,Thắng cảnh,Miễn phí,,"https://lh5.googleusercontent.com/p/AF1QipMjw0Hr8Q8IaNps_6FVlPFivjdCTKO5LQFionCZ, https://lh5.googleusercontent.com/p/AF1QipOGBzDbCm_QqE2VXprPc1O1qtObhldeoAkD8qV6, https://lh5.googleusercontent.com/p/AF1QipOW8bGkGLsaVOuZKKRxxMKUlYJK6JioNb52drSF, https://lh5.googleusercontent.com/p/AF1QipOK-pJvLmjxxTOV2c-fN4C4tSnQTZDe1lWix5VR, ",16.11243,108.31163
Tượng Cá Chép Hóa Rồng,"Đ. Trần Hưng Đạo, An Hải, Sơn Trà, Đà Nẵng 550000, Việt Nam","4,5",514,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipOsja5mY4FutBBksUpPGk7xtTfT2LONbebEZsIY, https://lh5.googleusercontent.com/p/AF1QipMpn6IsdBcX795423GCoph9u56VbiT_SvfbdXso, https://lh5.googleusercontent.com/p/AF1QipPv243eD4Ihp2TPwGQh-xAeabEz8p3L--yR2RE, https://lh5.googleusercontent.com/p/AF1QipOyHJdQYVySYKdtWFS9ep1p90ftADM-uz0d1PyG, ",16.06291,108.22982
Đỉnh Bàn Cờ,"Bàn cờ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam","4,6",3.475,Đà Nẵng,Điểm thu hút khách du lịch,Miễn phí,,"https://lh5.googleusercontent.com/p/AF1QipMngf3w05RMVlbau_UPnibZJauwbwiSQVuxUQef, https://lh5.googleusercontent.com/p/AF1QipN12A7mH75PsjNtDUH35qsRLY06Uco3az9RkzJq, https://lh5.googleusercontent.com/p/AF1QipPL4OZ6C6IbSrufSWozZvEJNPhNO7PT0T0qFA9X, https://lh5.googleusercontent.com/p/AF1QipN37auW0i-wzYT8VHs_c0tcsVKe2lUiiSqKqm8R, ",16.11894,108.27198
Bãi Tắm Non Nước,"273C+42, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,5",95,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipP1ERIfuOqEsmk-gkDNgib7iucLi1q49l1zaoGx, https://lh5.googleusercontent.com/p/AF1QipNz-uu-bvoDbTgJ_62dRsgig4NUQY3NVMTkQthZ, ",16.00279,108.26997
Hải đăng Tiên Sa,"Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam","4,4",323,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipNinnEpRKiIkevW947SS9JJKsZ2mb_XrB-eGoZ7, https://lh5.googleusercontent.com/p/AF1QipOBHPuhfRpgDAsd9JvGA9dwg3j9IGJADf2obosQ, https://lh5.googleusercontent.com/p/AF1QipMlRzjzQFNXxJb6OlZwZzuGBwcppj_1oaQ3BrqX, https://lh5.googleusercontent.com/p/AF1QipPfRwsMDvTuQdmbpb-D16K7E4dG1Dmj4ldpp848, ",16.13969,108.32206
Hồ Xanh Đà Nẵng,"37X9+F68, Hồ Xanh, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam","4,3",699,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipOISKs8VUAnuuG7UIKR2HRnPaTvL7PW8jxIxi1o, https://lh5.googleusercontent.com/p/AF1QipPAsC1rj2hpoGPrX_PhzeHSQAaM-GQXMWLtOCBG, https://lh5.googleusercontent.com/p/AF1QipPhJvQbM61xH9jdD9dOAn8ZGblCJfdvL9ymLDTb, https://lh5.googleusercontent.com/p/AF1QipNPrdr59UY0B6ssIn6mLju45Zx5n8WHgGQJixKk, ",16.09867,108.26806
