name,address,score,reviews count,latitude,longitude,province,category,price,services,description images
Quán Mậu,"35 Đỗ Thúc Tịnh, Khuê Trung, Cẩm Lệ, Đà Nẵng 550000, Việt Nam","4,1",761,16.0091701,108.13443,Đà Nẵng,Nhà hàng Việt Nam,1-100.000 ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipM3vkb6skAHjcA4PLlHyVSyleDkHVjwqMYJbiiZ, https://lh5.googleusercontent.com/p/AF1QipMdxi9IrkqNC6fIBYZ5Mp1zADKBoBSfCrF8OwBB, https://lh5.googleusercontent.com/p/AF1QipPkQn_jFMtAzHdwnos8QB0Jiva2ZlqxjbU7I28Q, https://lh5.googleusercontent.com/p/AF1QipOPZcLAWdYYontWk9RfVduEB_Vxi3Bhm694PV7z, "
Cháo Lòng Bắc - Xương má Hàm tại Đà Nẵng,"207 Đ. Lê Quảng Chí, Hoà Xuân, Cẩm Lệ, Đà Nẵng 550000, Việt Nam","4,4",34,16.0140001,108.1494588,Đà Nẵng,Nhà hàng,1-100.000 ₫,"Ăn tại chỗ, Đồ ăn mang đi, ","https://lh5.googleusercontent.com/p/AF1QipOsosP9xiN2tYH3-Hs2mJQyNCw2fwg8KG3ssLgB, https://lh5.googleusercontent.com/p/AF1QipNilBIsqUZoVOCyRk-FOlWlnaEvQinTmkg7G-k8, https://lh5.googleusercontent.com/p/AF1QipMnyWzemW7dcII0iECqVT_fEUEOm9Y52aqEMr-k, https://lh5.googleusercontent.com/p/AF1QipNCWWjeg0YHZ-cOuRndhhgQBvCj3Z_dmxERMNfS, "
Quán Mỳ Quảng Bà Mua - 58 Ông Ích Đường,"58 Ông Ích Đ., Khuê Trung, Cẩm Lệ, Đà Nẵng 550000, Việt Nam","3,8",240,16.0161901,108.1327448,Đà Nẵng,Quán ăn nhỏ,1-100.000 ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipP9NSv6PgrRXrJl3oEvoLjFBYutV4RXPW_NzgYU, https://lh5.googleusercontent.com/p/AF1QipMRli4QlZ2TtHYi9jwn14IlEEXAvoi99_ZrXxNt, https://lh5.googleusercontent.com/p/AF1QipNS1ZkAWI-nRKDr8mZM3jGAEmGSWNK1565zjhWY, https://lh5.googleusercontent.com/p/AF1QipM0fvak0qeprZZxrC23bOM-4BMEvrEC5icYbJcA, "
Cơm Gà Gia Trần,"9 Đinh Gia Trinh, Hoà Xuân, Cẩm Lệ, Đà Nẵng 550000, Việt Nam","4,7",167,16.0103504,108.1444405,Đà Nẵng,Nhà hàng thịt gà,1-100.000 ₫,"Ăn tại chỗ, Mua hàng ngay trên xe, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipMBCkinuzSFwwtWAmIdIGaabWF8sCCF_Z-d1Ahs, https://lh5.googleusercontent.com/p/AF1QipNNxad9Te_CZ9o9_MOMyV5IrZjohv82ZAxmQerb, https://lh5.googleusercontent.com/p/AF1QipMLrC7N0TBXw6zvwDr6MwSDHUiRyhGxAuyw7_PK, https://lh5.googleusercontent.com/p/AF1QipNFdvlJiVo3x_4yfTfpiqcl98l4qUDJk88wgXe-, "
Nhà hàng Sơn Dương 2 Đà Nẵng,"204 Xô Viết Nghệ Tĩnh, P, Cẩm Lệ, Đà Nẵng 55000, Việt Nam","4,2",286,16.032158,108.1427962,Đà Nẵng,Nhà hàng Việt Nam,100-200 N ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipM7dZIYn9f5TuIiz5vvwDOZbXtFfVnNwJ53Hps8, https://lh5.googleusercontent.com/p/AF1QipPiR8fTHFLnG_Gy3LbFMph9LfcOm5ZrYqhYdbg8, https://lh5.googleusercontent.com/p/AF1QipME96-kb__sGhmhiN6lzTfUsmKMJ94GgOxXDG37, https://lh5.googleusercontent.com/p/AF1QipMrA-aESMh48snEnKcCy8NAhTy9Nkvpv6tPCzKA, "
Quán Ăn Thần Tài,"43 Hồ Đắc Di, Khuê Trung, Cẩm Lệ, Đà Nẵng 550000, Việt Nam","4,8",4,16.0127768,108.1343179,Đà Nẵng,Nhà hàng,Không có giá,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipPLpYEd_Sb1ic_zeDf94IRCUsX__nswIRnHrORh, https://lh5.googleusercontent.com/p/AF1QipNIgwfpLlpiIKF7fW1n43HreAo24LPQsPpJOFWb, https://lh5.googleusercontent.com/p/AF1QipO3f_2KGXLLuTsGnX0PRTqxNEUlJDJIQE2nejZk, "
An Nam Quán - Cơm Niêu Đà Nẵng,"B15 Lô 42, 43 Trần Bạch Đằng, P, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,5",519,16.0556731,108.1736366,Đà Nẵng,Nhà hàng,100-200 N ₫,"Ăn tại chỗ, Nhận hàng ở lề đường, ","https://lh5.googleusercontent.com/p/AF1QipMq99-thD8HqZJay1fgi30X8lD1JadfjtdGgO79, https://lh5.googleusercontent.com/p/AF1QipNWSVlruODwMTQRXDCDv2Q1TL-i6CQKQNOe4KDx, https://lh5.googleusercontent.com/p/AF1QipMZYZj7gj24FXnFzFDXWvh8UxxxS-Fdc1RAxf_1, https://lh5.googleusercontent.com/p/AF1QipP_S3wkI4oX82u0QIfZYmw4JU6q2Dxips8yOjv8, "
Cao lầu Phố Hội,"163 Phan Đăng Lưu, Hoà Cường Nam, Hải Châu, Đà Nẵng 550000, Việt Nam","4,5",117,16.03585,108.1429489,Đà Nẵng,Nhà hàng,1-100.000 ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipOctf1LpjjkPi7eGjP2mkG4u3igwR36AxaWrHq1, https://lh5.googleusercontent.com/p/AF1QipMQBN_SiiUmPcW882vNP1KeW5EaVETslpZ8Kwg5, https://lh5.googleusercontent.com/p/AF1QipNApaOzAjn-VTpexTrOkKYefMiefg9CoaO6x4Dh, https://lh5.googleusercontent.com/p/AF1QipPVhzJmmz78A1F6oaKtbyqzw7zmqZ4N4QIlZawN, "
King Pizza -Burger & Gà rán - Đà nẵng,"202 Đ. Lê Quảng Chí, Hoà Xuân, Cẩm Lệ, Đà Nẵng 550000, Việt Nam","4,8",26,16.0146606,108.1498333,Đà Nẵng,Nhà hàng pizza,100-200 N ₫,"Ăn tại chỗ, Mua hàng ngay trên xe, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipNFJ0f8nrQ39GKj7-u8WfaOOvO_3KHF_e3XqrP9, https://lh5.googleusercontent.com/p/AF1QipOnmQFQtKjCrxQP3GprMSFOHJDWGacaUrZPTRuo, https://lh5.googleusercontent.com/p/AF1QipO5Fn4XMpHm9a99sgnhiU74Ra3wSad_XWrUvwe2, https://lh5.googleusercontent.com/p/AF1QipPMJV2H8u4A5FWy7q0LM_aph31I5tjWt95q5cG9, "
Đặc Sản Dê Núi Ninh Bình Tại Đà Nẵng-Nhà hàng Hoa Lư (Hoa Lu restaurant),"113 Nguyễn Hữu Thọ, Hòa Thuận Nam, Hải Châu, Đà Nẵng 550000, Việt Nam","4,1",725,16.0482262,108.1376779,Đà Nẵng,Nhà hàng,200-300 N ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipM12jb2kvt40hDbk6U2qL3TTYesqg4vCPeDJpWe, https://lh5.googleusercontent.com/p/AF1QipMyC8pv1_ecLI90H4-r2NBD0Ws5lOuGvdBOhDMo, https://lh5.googleusercontent.com/p/AF1QipOfVOzlBDBm7w6pHdLkwqZA8kH1fsVaj8iDPvoh, https://lh5.googleusercontent.com/p/AF1QipPsUVQvp7cAZHg5LJNmDBU_2lVSSzcMdSS5AoOG, "
