name,address,score,reviews count,latitude,longitude,province,category,price,services,description images
Cà Te Quán,"57 Nguyễn Khuyến, Tân Lợi, Buôn Ma Thuột, Đắk Lắk, Việt Nam","3,7",925,12.6948484,107.9760817,Đắk Lắk,Nhà hàng,100-200 N ₫,"Ăn tại chỗ, Mua hàng ngay trên xe, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipNa3XQYZCMk6hL-HBtPqvS57aJZxhjogijaJyzQ, https://lh5.googleusercontent.com/p/AF1QipPwcDuj9pGGn0UPFBLYxeiUVBsqTVlgitidC_X_, https://lh5.googleusercontent.com/p/AF1QipOBtQHeawNXk6KJIiaa1HJZVUVBPrvOwX3HJ6dI, https://lh5.googleusercontent.com/p/AF1QipNshbu-P7OSCQC7sHDm0lBfpeaUngA01CAXIuyM, "
Hoa Lư Quán,"89B Nguyễn Khuyến, Tân Lợi, Buôn Ma Thuột, Đắk Lắk, Việt Nam","4,2",899,12.6951866,107.9762325,Đắk Lắk,Nhà hàng Việt Nam,₫₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipN6oq7rr2yMzqgcMhawusXb3gQSAc5n9M3PNzlR, https://lh5.googleusercontent.com/p/AF1QipPA_SqVpMhFxyc8mxNxPAhBB2GOJupKlAi0hFg4, https://lh5.googleusercontent.com/p/AF1QipPdbTJ_taiMJcQF7W54TM0ZYAuZecMQhPvz-GjN, https://lh5.googleusercontent.com/p/AF1QipOx_8wPS4WuVGbB3oTCCYayd78NpmP3NzNaoKmm, "
Restaurant Cơm Nhà,"45 Y Bih Alêô, Tân Lợi, Buôn Ma Thuột, Đắk Lắk, Việt Nam","4,2",447,12.6884392,107.9819124,Đắk Lắk,Nhà hàng,100-200 N ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipM3K7t74_KMDDZMlW-HRmg4ZYr49rq_UlU5jh0h, https://lh5.googleusercontent.com/p/AF1QipNBbXSqaRvD4ZgljwvK1zVnULcrmNZznAjmbDa1, https://lh5.googleusercontent.com/p/AF1QipOCdQMA32umBrUfKjY-ZEMqHUjkf8TBPVIPjVCq, https://lh5.googleusercontent.com/p/AF1QipNA9zLCB-_gWnLHRlkm4fxlufs9etlQaGE4LF5I, "
Quán cơm chay Giác Đức,"169 Y Jut, Thắng Lợi, Buôn Ma Thuột, Đắk Lắk, Việt Nam","4,2",486,12.6843026,107.9705686,Đắk Lắk,Nhà hàng món chay,1-100.000 ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipMEKXuhwkURX_J-RKtWsgzjjuZvaVt9gnqVBX3q, https://lh5.googleusercontent.com/p/AF1QipM1xwhAXn61mYRT6KaZWZD_eEbQzbEkzF73w4h-, https://lh5.googleusercontent.com/p/AF1QipNu4RAJgCIml6zcGB_ZdvhBJQCW8njEF367b7Kk, https://lh5.googleusercontent.com/p/AF1QipNTBZkMqR8dzq4H5d9G_fVHgO5C11k30B_cQ7A, "
Dê Thủy Cương,"51 Nguyễn Khuyến, Tân Lợi, Buôn Ma Thuột, Đắk Lắk, Việt Nam","3,9",468,12.6946876,107.9758268,Đắk Lắk,Nhà hàng Việt Nam,200-300 N ₫,"Ăn tại chỗ, Mua hàng ngay trên xe, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipNY04ix-nxbO22xhgrh_KKaaFu56onM2dJXbI8r, https://lh5.googleusercontent.com/p/AF1QipOtoualnikwqADn2boENLBxzcbJUteoBNjOsV2y, https://lh5.googleusercontent.com/p/AF1QipMP4VK7ntcxVLluBzzQFuMY741-MSi5lDw3GW35, https://lh5.googleusercontent.com/p/AF1QipOfg1dS_5v33CtiijOU3n2vOFBF6bH5vyAQGqPe, "
Quán Cơm Niêu Vợ Nấu,"20 Bùi Thị Xuân, Tự An, Buôn Ma Thuột, Đắk Lắk, Việt Nam","4,1",513,12.6853417,107.9834597,Đắk Lắk,Nhà hàng Việt Nam,100-200 N ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipMP1si3FtZ4CkjtgHaLnEZ3pQlKKitjjf_AXHPF, https://lh5.googleusercontent.com/p/AF1QipPTNAw8oUg_NFdWCM5u84M_Z2NqwnOKiKf2tAjI, https://lh5.googleusercontent.com/p/AF1QipO8xbREI9lauu45UBVfjtydb-Jb33RzlL4nI5M8, https://lh5.googleusercontent.com/p/AF1QipO226Htbk_hOBhgyUvOHsp8wYXWwgPnZ7dJAyq9, "
Nhà Hàng Quyên Quyên,"M3R6+HXC, Nguyễn Tất Thành, Tân An, Buôn Ma Thuột, Đắk Lắk, Việt Nam","3,9",198,12.6914286,107.9902776,Đắk Lắk,Nhà hàng,1-100.000 ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipNAiOmwnF14Yw-AN6DLWkmRGMiVKVKLJ4aqBeGv, https://lh5.googleusercontent.com/p/AF1QipM_-vJetHdqgYUc0QOxGZol5Mzgzv3RpAq1ABw, https://lh5.googleusercontent.com/p/AF1QipMhv9HtU3_AkZZOnqY4ONQMGAqseoH-s7TP3h0X, https://lh5.googleusercontent.com/p/AF1QipNAiOmwnF14Yw-AN6DLWkmRGMiVKVKLJ4aqBeGv, "
Cơm Niêu Đồng Quê,"7 Lê Quang Sung, Tân Lợi, Buôn Ma Thuột, Đắk Lắk, Việt Nam","3,9",632,12.6878022,107.9805044,Đắk Lắk,Nhà hàng,100-200 N ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipMh5j5jBJT3sw9kT4lQP8V1mpFuHbLSZiw1SJ9e, https://lh5.googleusercontent.com/p/AF1QipMUm2kA1xdluuaRkOC_YjbDtVB0mevApJLpOv8, https://lh5.googleusercontent.com/p/AF1QipOd7cIBSJZSpFPFz7P4S-S06kwkcivJYJmAcqk_, https://lh5.googleusercontent.com/p/AF1QipM9gWg6_7JQe8-MQKMvmvik40BDcXEtGmtlvfxJ, "
Quán ăn rau sạch,"51 Trần Phú, Thắng Lợi, Buôn Ma Thuột, Đắk Lắk, Việt Nam","4,0",39,12.684876,107.971704,Đắk Lắk,Nhà hàng,1-100.000 ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipPr1cDc0faLvtawlqIvD1CQz4BDO3IgST6gx8Jo, https://lh5.googleusercontent.com/p/AF1QipPIuHgDZfjDmuLBV6UFy8mI11hR_CCPRoDoTkfN, https://lh5.googleusercontent.com/p/AF1QipPm1qp6W96Kl7H_lMJZ8MfiWC34vzC8r-V7blxZ, https://lh5.googleusercontent.com/p/AF1QipOn6b7X_IElisa_95DOfc33IsX7ypFyI0JOVTNO, "
Nhà hàng Biển Rừng,"6 TL1, Thành Nhất, Buôn Ma Thuột, Đắk Lắk, Việt Nam","3,9",215,12.684876,107.9099059,Đắk Lắk,Nhà hàng,Trên 1 Tr ₫,"Ăn tại chỗ, Đồ ăn mang đi, ","https://lh5.googleusercontent.com/p/AF1QipPHikVdMBn_rjbu2OmLoMU9GjejKrSMQDQe72wj, https://lh5.googleusercontent.com/p/AF1QipMZfbivYN2RbuF-qOheyKXJPNRhw0hy4vzRrVGY, https://lh5.googleusercontent.com/p/AF1QipNkCrKK3wPPitXG_gneQw4L5iBWbji3-GW6KnMv, https://lh5.googleusercontent.com/p/AF1QipN3IjlEtZbFXqEVkFyJSRtfqt3pB6NcNToqNPaJ, "
