name,address,score,reviews count,province,category,price,services,description images,latitude,longitude
아리 (Ahri) Korean BBQ,"02 Võ Nguyên Giáp, Phước Mỹ, Sơn Trà, Đà Nẵng 590000, Việt Nam","4,6",17,Đà Nẵng,Nhà hàng Hàn Quốc,Không có giá,"Ăn tại chỗ, Đồ ăn mang đi, ","https://lh5.googleusercontent.com/p/AF1QipMX53u8d4J_DazQHSX40ti5-IqCTDc5cu_On9x9, https://lh5.googleusercontent.com/p/AF1QipPP9IC8sSkGj7NP9OAR32aH7atEAv-rAPA6Bccs, https://lh5.googleusercontent.com/p/AF1QipOAZrfhEOpAtIaLa1EWkUc8ksQUY5ex2ArXtryO, https://lh5.googleusercontent.com/p/AF1QipNSy2d41J0Q94u3guMTmxRmY0m81xb9wom4Lv2Z, ",16.06574,108.24619
Độc Mộc buffet,"K209/05, Nguyễn Văn Thoại, An Hải, Sơn Trà, Đà Nẵng 550000, Việt Nam","4,6",806,Đà Nẵng,Nhà hàng,200-300 N ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipNEQ4xHEuQDaqhGkjD7FpGWUXQ4SnAJTHohd9WF, https://lh5.googleusercontent.com/p/AF1QipPyIQKj5lt9NRX4_LTYZeyK5USXnvOY1N5cgotL, https://lh5.googleusercontent.com/p/AF1QipOEMVrtj9dBfMovOSHzSqbr6mWmssq202pZjOV1, https://lh5.googleusercontent.com/p/AF1QipOe3ecrJmnfBgHInAcRN5Si_cYShWyFGha_HPi4, ",16.05633,108.24342
An Nam Quán - Cơm Niêu Đà Nẵng,"B15 Lô 42, 43 Trần Bạch Đằng, P, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,5",523,Đà Nẵng,Nhà hàng,100-200 N ₫,"Ăn tại chỗ, Nhận hàng ở lề đường, ","https://lh5.googleusercontent.com/p/AF1QipMq99-thD8HqZJay1fgi30X8lD1JadfjtdGgO79, https://lh5.googleusercontent.com/p/AF1QipPPFJU9zmRiPevV1RGVRpJEUDDynWgYXspbfeE, https://lh5.googleusercontent.com/p/AF1QipMZYZj7gj24FXnFzFDXWvh8UxxxS-Fdc1RAxf_1, https://lh5.googleusercontent.com/p/AF1QipP_S3wkI4oX82u0QIfZYmw4JU6q2Dxips8yOjv8, ",16.05567,108.24574
Bánh Xèo Bà Dưỡng,"280/23 Hoàng Diệu, Bình Hiên, Hải Châu, Đà Nẵng 550000, Việt Nam","4,3",7.501,Đà Nẵng,Nhà hàng Việt Nam,1-100.000 ₫,"Ăn tại chỗ, Mua hàng ngay trên xe, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipOTvpWglOAJr1Vrdj5VUG9rUyUI3a_4ZHvhKsxl, https://lh5.googleusercontent.com/p/AF1QipPCF0gPlcdZr1gthnB0oJGfGnYnLV1oiX7znZ3k, https://lh5.googleusercontent.com/p/AF1QipNY_gQF_NhwKaGScthR_V-O2VJltljC3opPW-5r, https://lh5.googleusercontent.com/p/AF1QipMKEzbr8qTP2UlfSK9v0Yz02x-Bv5OrJm4MP41J, ",16.05888,108.21617
Mỳ Quảng Cô Sáu,"397 Đ. Trần Hưng Đạo, An Hải Trung, Sơn Trà, Đà Nẵng 550000, Việt Nam","4,7",731,Đà Nẵng,Nhà hàng,1-100.000 ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipPdXlmIZwik-9WcM64woTNYQeQGCbeKQkmh9ggw, https://lh5.googleusercontent.com/p/AF1QipPCVBe2g2wQOOpF8xA7_mMgWWV93pMOPBk4529G, https://lh5.googleusercontent.com/p/AF1QipPlIvfjjahNW-KxHQLPFNcUwZBk80zyhaGtqCFT, https://lh5.googleusercontent.com/p/AF1QipP6GUMX7lCGZzFYyKpCGCNjAC8Mz8SC7tUvyT8z, ",16.06618,108.22966
Cô Ba Phở bò,"154 Bạch Đằng, Hải Châu 1, Hải Châu, Đà Nẵng 550000, Việt Nam","4,8",4.749,Đà Nẵng,Nhà hàng,100-200 N ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipM1z0W4UOY9SAIL1oX0-ZCk2UmCohxLgSUdhgug, https://lh5.googleusercontent.com/p/AF1QipMMHjo_4PNubJ9vBcLqHuW8ZboSDLxLqgcdQXNT, https://lh5.googleusercontent.com/p/AF1QipM7TtuRuLjR9NN6KxgEQANa5JzVpK1PPW3CmyXN, https://lh5.googleusercontent.com/p/AF1QipNgEhjeHwsddZvRdjIrLPAai3e2TqwH_Z1809eN, ",16.06697,108.22472
Bếp Cuốn Đà Nẵng,"31-33 Trần Bạch Đằng, Phước Mỹ, Sơn Trà, Đà Nẵng 550000, Việt Nam","4,9",6.166,Đà Nẵng,Nhà hàng Việt Nam,100-200 N ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipOB8gfOohDbQbPfIDz2TdBlnS8STINrtJQ35JkU, https://lh5.googleusercontent.com/p/AF1QipNmnAzdFtVThv2o7GI-RX-QiH7ChyJD96fOA8bk, https://lh5.googleusercontent.com/p/AF1QipPUpDd2NsEq9hxOUbs4TGdqk9KqUIIMXJxYEe3m, https://lh5.googleusercontent.com/p/AF1QipOhb-WKocLvISoasNc2cc1tDrFu7hPGozbCtB3Y, ",16.05796,108.24515
Quán ăn Hàn Quốc Ông Lei (Mì cay - Ăn vặt),"73 Đ. Nguyễn Văn Linh, Phước Ninh, Hải Châu, Đà Nẵng 550000, Việt Nam","4,9",705,Đà Nẵng,Nhà hàng,100-200 N ₫,"Ăn tại chỗ, Mua hàng ngay trên xe, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipMg-97snIZqQwjdjwELtGRQbzeLi7s0Vo5w4x_s, https://lh5.googleusercontent.com/p/AF1QipNS1pyPCieKKnDIIMUxzIaGAaMd6omOSodetNaQ, https://lh5.googleusercontent.com/p/AF1QipOrwReAY046X1rDr3bYdcCxm076zMjwjLyFCf-7, https://lh5.googleusercontent.com/p/AF1QipN13CQGM2Lq1SM30OYHypULj1WzMQOSg8q6rlhh, ",16.06069,108.22008
Hải Sản Đà Nẵng Bé Biển,"202 Võ Nguyên Giáp, Phước Mỹ, Sơn Trà, Đà Nẵng 550000, Việt Nam","4,5",1.563,Đà Nẵng,Nhà hàng hải sản,Không có giá,"Ăn tại chỗ, Mua hàng ngay trên xe, ","https://lh5.googleusercontent.com/p/AF1QipNXGUiSFyhZi6EK2BE_7dZBhhaVg_pTHxAYHcgE, https://lh5.googleusercontent.com/p/AF1QipNed1WwuiWlRNaDoksGDWCe7rpb3pFS2GZ9a50f, https://lh5.googleusercontent.com/p/AF1QipOqhihAIy25Q8pcDAVvAfwj4NBeOhiTMDuyt5so, https://lh5.googleusercontent.com/p/AF1QipMxlG_j8qJrtBUik0F0YCn8c9uCLCnynaBf92uI, ",16.06853,108.24498
Cơm Niêu Nhà Đỏ,"86 Nguyễn Tri Phương, Chính Gián, Thanh Khê, Đà Nẵng 550000, Việt Nam","4,1",488,Đà Nẵng,Nhà hàng,100-200 N ₫,"Ăn tại chỗ, Nhận hàng ở lề đường, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipPSZup1y2IylJ1PzUCfI8v4E_gBadLwmSLCExs, https://lh5.googleusercontent.com/p/AF1QipMXcCa7wpWHCmybHW2m7VcnvOzmRKn2SUwScBs3, https://lh5.googleusercontent.com/p/AF1QipOlUIWeKAFJmWkLIJZ0e2UEcoibapfTFwCJBfJu, https://lh5.googleusercontent.com/p/AF1QipN_V5w7hHCP__3QOtxVtL3e6TATH1Vp6FhZ8FrF, ",16.06219,108.20395
