name,address,score,reviews count,province,category,price,discount,description images,latitude,longitude
Corgi House Beachstay Danang,"Đà Nẵng, Việt Nam","5,0",0,Đà Nẵng,Homestay,411.125 ₫,Không có giảm giá,"lh3.googleusercontent.com/proxy/Ivce3HuN83I0K5kwgba8v4FAswBiyF5pw4AvDhRLgCvdyymSB99ll6ZrAY6ZLoVItamt3xjnZmSBC_f4UCMfnyvY-xpg_P8sQPjLlN-KTvVZv-VxqDtkUjvO2zdcJjSX-BWLDjiHZAo7dQMQjuZ5E9-h4TmEut8, lh6.googleusercontent.com/proxy/XLK30wKKLK4IuWWNxiQUkBkmzc9sF8GlVqQPPjU2VluM7fIGqycNZoBRYDPYpAhk3PGstnpTT6cWYBjNe7ijrX7oLGEhvP8sPutBaWPpkdv4Z91T8Lm5Lo_dS3oMcb2GRYDw1lNJibEdoh8TJ4Dze0jJawc26lI, lh6.googleusercontent.com/proxy/Kh1xgZuTcI9ZsCxaL4YnJmrI5T_tDNlpzh7aeofIWIry6tK9KV5Zpa9T1JHEatcMyRf-3KDyOytyixyLN_SG8nYQK0vpfpCzAtLusbrC5yC3HFOADUFBhdiMPm72emNOj6vnIZ0-aSJTWOGUL_8iS8ppfZDnew, ",16.05803,108.24379
Y Homestay Đà Nẵng Gần Sân Bay và trung tâm,"Đà Nẵng, Việt Nam",Chưa xét,0,Đà Nẵng,Homestay,1.445.850 ₫,Không có giảm giá,"lh3.googleusercontent.com/proxy/fDasBgFAO9fDFH35ckv9haDTINPelPNOodySzRLYhIBI69weBuLSkbFAG12CXSAL46QErbtwIdBefZ7VRP79jsSic0hHXUru1yU-2lf7KPo3Wzsy_x6zE_2ewBql7kfX0Sdbh25_mv23Ar3BoUlb1iHN9dkjnw, lh5.googleusercontent.com/proxy/ofEOLuGSj1dp8D7XJHURHHaj0L6CJGGjJ7rfgEPU4TNFbulZsoe6BCnwHbYG3xCN95EcWeAdHIS_3z150PGtczVfGKRX9FZ-t_RQzKnkfVCgn0GQNdnHy9gDMh5lzr2lcBtdS0ctXMuojVkFoxjfflcdxlYFRNg, lh4.googleusercontent.com/proxy/HwiDzvxWz8o1Kmm3G3x5y1B9c6drv2mpdopqej83tG78fE_eOsjs3vHClCUi_Tueg0SnxK3RFwMUs8icVn0nAk4MyW0QcToDUWm9uaVCIJjx7ANZfFY9rTq-PDLsP4wBGKIZBQ0WgHWMh10uPNcymhRbIg2fDg, ",16.05151,108.20842
#modern room walk to Da Nang beach,"Đà Nẵng, Việt Nam",Chưa xét,0,Đà Nẵng,Homestay,784.300 ₫,Không có giảm giá,"lh4.googleusercontent.com/proxy/dLtStLJpuu776GCaHx--ILLk2ujEhUXAXfI2VlFW17O7dX0zB9AIT-gaysFbM5oxEFIBUoLztxmmBM0BxA956yuF2whFbN45vtYWDMhOkNqnjsakapIiL7Ljbb16cAB4D8e9j1c-sNGSzimYI2jfZCCR5S7vjDM, lh4.googleusercontent.com/proxy/xnVTqVzq3iUw_BcJk-xWFy9XqHi1LcyhJ0-UUkZV7ZI6ovC543X-mnbO_jv4n6tEsoeo93Axfsot92btTCg6qKwxStx5pGdnhGb_T7SDn64XtMZRaNW0wjNQ_g8mTM3sSxB6KWais8Gh9tM-fjnRKVF_IcB22w, lh5.googleusercontent.com/proxy/tTOL0ir9uGJvCWKuWJ8Bj0tBATZpeaZMYKyYXOpoFLTBPbHdvNuOMIh9ONVaimTPvtsEo9d-POwZEmExh8XUoTmYSvfIqZ-0fJ9pOky5KZ6MhVBNVeE36tQi9wHhLabFEcM7Y02RrlO7no8GVKDaDI-dX8efQw, ",16.07046,108.24281
Homestay Da Nang Full House,"Đà Nẵng, Việt Nam",Chưa xét,0,Đà Nẵng,Homestay,400.878 ₫,Không có giảm giá,"lh6.googleusercontent.com/proxy/AMRFFovPRPPwNwoKo8T_lx5AF0-0s-EGnpXt-H5RFPbD4tiqU_E1KjVhC6VnP94AuEdlYqKOMRR3Dau-9CxUp6YLfhkgMTwgWPu30aOm1VKiMiOKCv6a4ckSz1WFiIX2H9jBt4I3PDS5EmUK9AxWc6fSEglDMQ, lh4.googleusercontent.com/proxy/6I78xHSZdMk1JdD2yE-bjkXLdngCxZkLZozGe5emdf839qhmiZh5Kt9lP4-53P7IfZtp_0OaqreTPnRjbMazLLAOEfNE9mMUAFqkGmbQ_9-9T3Qn5CboasZk2UR5SQZAkeOmjHalmgIVa_aKceHEmJxbrkFXfW0, lh4.googleusercontent.com/proxy/rvXL4LCkGkN0HqzTPq6G6Av3X5vqWOVfw_HERU93WttgQIiF2KqiE_-VeRakowKMTA46b6pA82NuI7DygASohQslYQl_wPMc0SygAkstdzyL54VSV7mVuWsTfw3KDVA6mPPnJOkKe5Z-Xr5U5rPOUixvjYrVMGc, ",16.06027,108.17730
Cosy House Da Nang,"Đà Nẵng, Việt Nam","5,0",0,Đà Nẵng,Homestay,1.184.040 ₫,Không có giảm giá,"lh3.googleusercontent.com/proxy/Fll5bkIC6vDehsBBYdgVcyd4AAJA6JORKQszp61EobfjOr5V1ubgHJp45y1XwcX3pCtO8Rsx6DihsueJua4WKtfk4VocLGD5O5CqPu3K9PLv03TjK7jHF1ON8Y9GFLLMnZUPJP2YtpyFSX-S-9haIglFF_L6Brw, lh5.googleusercontent.com/proxy/Cj3uAFEZPqK1Z_oeVHLBX9pw6x3OCMz7T5qktFzMvGZqUoQ-xu2bA-nL-8IfYCOUatGP6WJ1EwN_tEru1anfO6FIhw7Bha_tQVOd82kF--pIMBkd-ibgcpbe8rgdaZEEiaCX3QMtj3Ji5_ZSllYUtw5Ykg6Q7Q, lh3.googleusercontent.com/proxy/Urxvw9FV8OtVPKtafYotmOJyUBwlG5av0Pfyj0KHmtLtl4xclEL_X9tuBQ77YeFOxy3aBwsW_WU7wuGmOBBN0ncZk9Ef2Xg0fFHbyYo0MSn9kGHggyAfcUR6rpUR8my_5mdtylBKraGBkwyzIcRcva7gl1HZ1Q, ",16.04926,108.20884
Kaia Residence Danang Quiet Garden,"Đà Nẵng, Việt Nam","4,7",0,Đà Nẵng,Homestay,1.109.911 ₫,Không có giảm giá,"lh3.googleusercontent.com/proxy/V_nhO0bsOS6rSuim-OPecGsLF3IXla8p60xtl_O_3fyPkMuUje6K572Y0TEOu50O0aX47MlBra1QiKciXgJcHzJz1AVoymKEcw90ojEDg24pgOMXH0gYmMHgBXkBnlzMw80K5fpqyQWhzcmiQ1dI91Jn9s6HP90, lh4.googleusercontent.com/proxy/-oqgTSgdxzfv_xLgtBc98TuQxU7DaT31Puuuk_petExDPgD5aUL7x7MQ0sqKclUyazGhSTTvXqAefkdlWECSFnvF1f0R8KCsUu3iZDwfegC6B4LC8Z9tcqzEJ-gD-95tOu890gSsGM-65lIlp2hyPsOLELeUgA, lh5.googleusercontent.com/proxy/kQrQSS1KdKjZfK2biokGg-Gpjeo5z72kQJoVsgeDPScuEP0Drn0DFzJTls2jpfVucX1YDc4HjJfjmVzAY9WHpetYkmU9XQt2xMhGACSoWPxu_kSn4ocLd2zBm0F7ekzVbSTZtLzp0u_aYGrfe5TrVZ726GOdef8, ",16.07732,108.21571
Sena home 3rd-Near Danang Dragon bridge-Han river,"Đà Nẵng, Việt Nam",Chưa xét,0,Đà Nẵng,Homestay,455.000 ₫,Không có giảm giá,"lh6.googleusercontent.com/proxy/8riI5zd2ygcBLO4idhyApTN1xPhR9u14hfwr32pdLXQ3zgZKuf2oDY2shkn0D8S1mrtOilKrg6Gj2VH6lH8WuhCTChgX167kFw3JAixHii-3eY99XF4NnOsbtb58O3UZZUonm-vo3eqpWLJpyFhVtIwrOBqIZA, lh5.googleusercontent.com/proxy/2__bh7JR4NEZctPMazfXTcbYRIwp4ucSiLgwr7vsSdLpq56y7CunHgrjCL65LBlSYn1ETi70o-eX4dykdjgIlYyi9dITZwmBsHjNs_8IEQMnO8OPPUS1-ZAcRXiOi_HP6RQUGxaGr_GG7g5l4wa8uJ3O4ONm3vQ, lh5.googleusercontent.com/proxy/TQluEVS1OQ9-9YtxLNiDRCYympJIXrTVMN77fq-tUG95tnDsBch8sr5UvJlhAEF5ZxA6iaLGQnZd0quqjWsoct2EXQssfc1lcfoCEDUcMAN5zoQ3Wf5JHAl2Vipp52FCf2053VLbzd6cQDTJF_6GaDEVXEB0ZRs, ",16.06021,108.23152
CT HomeStay Da Nang,"Đà Nẵng, Việt Nam",Chưa xét,0,Đà Nẵng,Homestay,436.551 ₫,Không có giảm giá,"lh6.googleusercontent.com/proxy/Oqq71VaxjtmhVz6CN9xMv1oOrP26-k2moymd2qNBQTjqdsuMFfgI9f5R8oS1MLzKl8VO0IOD_z2MIMMcj5hRXWYnvlt1GqjXZ4wtyvyfkf-vfkBtqH6flMrE83LQOsIrzsFUrM2mQka0AFW_2bYG1wX_FwBjRw, lh4.googleusercontent.com/proxy/8ufJ44xeL1yp1xqn1Yn0d4ocFupU6VgGFUbCzfM4dlgtVp60i2J3Mj7ryzbUPgaIHUJStCPoct-ouxsiVh6ff8uYChNqVsQCo1c1fuHZ7EtpAiSvQtScjqcR_1l64komyba5-0NwCMT2MqdMa_bu966XdH6cXUU, lh4.googleusercontent.com/proxy/jOA2CDhLcJFOfraDlC8eFF9gCXH55JsRCLo81LBKlPmb7DGoc7d4BYS_KWkvHRUMFkHclk0X6gN5feRHMN0mhhbt7oX79Sk6PZyI4OZ4sjYb0kO1-YdBtpTk20k6J5BA-US2EXfs4kPdsiqsB6AdB0h7wwpkRhQ, ",16.06388,108.23138
Tree Homestay,"Đà Nẵng, Việt Nam","4,5",0,Đà Nẵng,Homestay,509.150 ₫,Không có giảm giá,"lh3.googleusercontent.com/proxy/eQETGcr3m6WWWj-td7eG4_OLCSKl-90oKFRIunl55HiwvwBZ6Ji1U21UypcCGLUDPiVK5pCPeYEPJSrhQMEC9oSnQ4wgc17ePCjDa7y1yG1pHG4UZGd6kngunTksSamqalr7nEs22-3H7Z_LXgt2LdJDn3-oMqQ, lh4.googleusercontent.com/proxy/_1AVOsxu1mutvG5FT-WNPN8eP_Q7RKGT4OSVACInX4QxSlZUcaNvN45RBmDu0WfoIXyzQ2DX4TEiDGU6mfuFZ4yz7mA-TwmAxbrumAMgiC45tnMJnEZGqaoAX2UAWA38s9wkLzNJaUsj-S7d5GVq5Mwf3tYSig, lh5.googleusercontent.com/proxy/ooFPlE8AyiLFSu1LRrHOPTBq9eSn6I_slW_3zEVxvN-6U4dRNDyADiriLcmn12tsiIEEiUYrl0ibkcyRoPmqc8F28VBIklk-dslSN2xRE0cf635xBjWYMYb7-qlpbOxazkA-3CfCZDVWdVyZlCrm6LhW4vfQTiM, ",16.05348,108.23406
Baphu House - The centre of Da Nang,"Đà Nẵng, Việt Nam",Chưa xét,0,Đà Nẵng,Homestay,1.366.200 ₫,Không có giảm giá,"lh3.googleusercontent.com/proxy/utJSnBAINX9Qg4kO_uvoPFvmyPOauglAQLpXAXwROp_d_EwobWntwgj509XFSGhAEh6YhaMB6PqcvQKc89r6ENWQaX6KUMHSrpeICaBykH2V84B7r-besDz501xN6ZSPoaj_m5WfJ3ICk6t9vHwchDnYdT5Ibw, lh4.googleusercontent.com/proxy/dLefDwgA5ja_EIDTbmXI6Dfzf9yAEUW3nX2k7kA2KLxOu0rSZskVQhooYULQBaOF0ycFUaZfMyyXlpdJO8KHcOh-PTdCFxb_p2mAjlvwFrnuUrVhCeTSqRcigCrVEMw8hji6mtC62zXSKnegdWhnVZ_1FreF1g, lh5.googleusercontent.com/proxy/Knz0moQ4uIt94aQvVesYlmO3aOZjTRZKjjUbLJvIPYKfQPPIDKpChbqEp1tYEEhHykzWTQUTO8Py-ky2Wh_evZPLMrvaanlEU23y7U6VC5ZVJceyTa8LjVkQzFIPd7oKd8-5yqzFhOP0eL5PJGX5l9KnhDIbKU4, ",16.07309,108.22117
