name,address,score,reviews count,latitude,longitude,province,category,price,discount,services,description images
Khách sạn Mường Thanh Buôn Ma Thuột,"81 Nguyễn Tất Thành, Tân An, Buôn Ma Thuột, Đắk Lắk, Việt Nam","4,3",2.662,12.6927646,107.4863405,Đắk Lắk,Khách sạn 4 sao,1.010.081 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Xe đưa đón ra sân bay, Bồn tắm nước nóng, Spa, Trung tâm thể dục, Quán bar, ","https://lh5.googleusercontent.com/p/AF1QipNOsywhglU2nsOBEGqnfaR2AAfm-s3GHIK4U9GP, https://lh5.googleusercontent.com/p/AF1QipM6qpUt_Bbmp8MjqJ2hwrlJzppMIDu3So9-1wU_, https://lh5.googleusercontent.com/p/AF1QipPVEZiWpihSp6T5HeBb6ueXHgTANwBtyNmoSbSV, https://lh5.googleusercontent.com/p/AF1QipP2LZMVrT17N_bZyqDS8rk_FcNkcTind9a6-Jop, "
Khách sạn Thanh Mai,"170 Ngô Quyền, Tân An, Buôn Ma Thuột, Đắk Lắk 630000, Việt Nam","4,3",791,12.6924459,107.4823185,Đắk Lắk,Khách sạn,481.301 ₫,Ít hơn 19% so với bình thường,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Bể bơi trong nhà, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Trung tâm thương mại, Dịch vụ phòng, Nhà hàng, Bếp ở một số phòng, Trung tâm thể dục, Quán bar, ","https://lh5.googleusercontent.com/p/AF1QipNxGKIAuFUahqOQSzErc5-4IT3_03c7_r16AMgi, https://lh5.googleusercontent.com/p/AF1QipMKq4zoHJ-55hr7niHs_HK4ZPwEYrjpPuPv2XE6, https://lh5.googleusercontent.com/p/AF1QipM_P4nTfgjwDOTNESzK6NPdBvSrpNhiRAr5DOY, https://lh5.googleusercontent.com/p/AF1QipMZWZRQhy_sDmi0H5VXHiP0wUuXcnMtAsBanzAO, "
SOJO Hotel Dak Lak,"15 Hùng Vương, Tự An, Buôn Ma Thuột, Đắk Lắk, Việt Nam","4,7",162,12.6801468,107.4712294,Đắk Lắk,Khách sạn 4 sao,739.381 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng có tính phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Phù hợp với trẻ em, Nhà hàng, Bếp ở một số phòng, Xe đưa đón ra sân bay, Trung tâm thể dục, Quán bar, ","https://lh5.googleusercontent.com/p/AF1QipN1NsezKPgVE3r_NLINH6XnIDD_7nU3Bt1kDPT2, https://lh5.googleusercontent.com/p/AF1QipP4Rv2uEu778PYQtCg42Fd0ok1J3ftELhT_2uk9, https://lh5.googleusercontent.com/p/AF1QipMxOKR9Uupe__IWDUPz17cmvRgi1ulhGxxx1XXC, https://lh5.googleusercontent.com/p/AF1QipONDevNw_Ke0_VY9M5Q2RoPkt0-q-ceA9nkSiEe, "
Khách sạn Dakruco,"30 Nguyễn Chí Thanh, Tân Lập, Buôn Ma Thuột, Đắk Lắk, Việt Nam","4,1",1.378,12.6934649,107.4896748,Đắk Lắk,Khách sạn 4 sao,606.345 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Xe đưa đón ra sân bay, Spa, Trung tâm thể dục, ","https://lh5.googleusercontent.com/p/AF1QipMAuk6hqbCo4Y3eDP3oaOVhD6eBBZu5fmWbmIvL, https://lh5.googleusercontent.com/p/AF1QipP52L-TnxwdyggpBkFYsvDg_C4zVy9uOADCgJ0B, https://lh5.googleusercontent.com/p/AF1QipPxthmtd9b0Y6BF7OdiZ1YqqkC1Lf65QMUFqVn3, https://lh5.googleusercontent.com/p/AF1QipOXVVyJYmIcuFjpuQ60fTOOxCaJ3w9pWyVtUm4n, "
Khách Sạn Buôn Ma Thuột,"03 Hùng Vương, Tự An, Buôn Ma Thuột, Đắk Lắk, Việt Nam","4,2",349,12.6800074,107.4694003,Đắk Lắk,Khách sạn,439.688 ₫,Không có giảm giá,"Wi-Fi miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Nhà hàng, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipOI3zUgl8gQa8LrYCPF4IsYtewdpl9XvFsOPgGM, https://lh5.googleusercontent.com/p/AF1QipPOyJGCYMEzxsJDRb-1WtzQgluDZtPowteHd6Rg, https://lh5.googleusercontent.com/p/AF1QipOF7vuKgssPQnbHNFGDwLv72V53yBV-oEh2OqeR, https://lh5.googleusercontent.com/p/AF1QipOoQfRyoHJRjDYIndHje8cZwiB3y90xWnfGLdzK, "
Khách Sạn Hai Bà Trưng,"8 Hai Bà Trưng, Thắng Lợi, Buôn Ma Thuột, Đắk Lắk, Việt Nam","4,2",520,12.6820324,107.467674,Đắk Lắk,Khách sạn,657.223 ₫,Ít hơn 16% so với bình thường,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Bể bơi, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Xe đưa đón ra sân bay, Spa, Trung tâm thể dục, ","https://lh5.googleusercontent.com/p/AF1QipOB0jxOcxLNLauY35Ctht-3CAlJmaLY1iY6ZrT7, https://lh5.googleusercontent.com/p/AF1QipNXJAWmQpdyyLiaUYgFsVksiqkKP-SJPxaJrFms, https://lh5.googleusercontent.com/p/AF1QipOs_2ak0J-5xKiwsCeAsG0MmkzcYvWJ0wb8sEeS, https://lh5.googleusercontent.com/p/AF1QipMnRc0PBOV6dbxn7I0s_FfY9gSc00xaNjTIkqMF, "
Khách sạn Đam San,"212 Nguyễn Công Trứ, Tự An, Buôn Ma Thuột, Đắk Lắk, Việt Nam","4,0",704,12.6806021,107.4766906,Đắk Lắk,Khách sạn 3 sao,682.000 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Xe đưa đón ra sân bay, Bồn tắm nước nóng, ","https://lh5.googleusercontent.com/p/AF1QipPGljXXhU20i1vCnDDuBdhKVTUZfeINpmFfSJsm, https://lh5.googleusercontent.com/p/AF1QipOfJ5SoyfBDNLZC-W0IL6XmYuHgjGwgJ8Tv2Tk4, https://lh5.googleusercontent.com/p/AF1QipOL4K4M0kWl6o4YYIYwgpO7x0noi8XpNKHPtWsO, https://lh5.googleusercontent.com/p/AF1QipNz9guc8l426az33kq3u6cpvbToTnh9ChzVGWzN, "
Elephants Hotel,"142 Phan Chu Trinh, Tân Lợi, Buôn Ma Thuột, Đắk Lắk, Việt Nam","4,3",593,12.689581,107.4721263,Đắk Lắk,Khách sạn 4 sao,908.201 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Dịch vụ phòng, Nhà hàng, Xe đưa đón ra sân bay, Bồn tắm nước nóng, Spa, Trung tâm thể dục, ","https://lh5.googleusercontent.com/p/AF1QipP050T5h_DqX6hb2fsOyqA3AqWFmjFrlKu_6iMa, https://lh5.googleusercontent.com/p/AF1QipNQyNDKRpqwo-zaqpgjCRwv9V-_t59GIhaE8ahP, https://lh5.googleusercontent.com/p/AF1QipNU1V_NitilHMllO-yHkihXrgPdssXoKv4ZHxmP, https://lh5.googleusercontent.com/p/AF1QipMpwGTpRXInBsmrUKUsiVF7s0F14u5msyKKzCiW, "
Khách sạn Hoàng Lộc,"09 Y Bih Alêô, Tân Lợi, Buôn Ma Thuột, Đắk Lắk, Việt Nam","3,9",472,12.6872311,107.4750866,Đắk Lắk,Khách sạn 3 sao,529.854 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Phù hợp với trẻ em, Nhà hàng, Spa, ","https://lh5.googleusercontent.com/p/AF1QipM6yjsgzu_x76qFoRhuIG5jNYYixVYWnU6s_L0s, https://lh5.googleusercontent.com/p/AF1QipM38lMTF7Kdpgm06pGwKEGy3BHF6tAMdN9-oq9L, https://lh5.googleusercontent.com/p/AF1QipMa2d6Y5DtpYb5foDxI8BulrBNTY7auWcoaHFOt, https://lh5.googleusercontent.com/p/AF1QipNpo3WP0uYE3SwCL1sn6BlRySJTWya7GBZMnkew, "
Khách sạn Bazan Xanh,"5 Nguyễn Đình Chiểu, Tân Lợi, Buôn Ma Thuột, Đắk Lắk, Việt Nam","3,9",374,12.6872037,107.4761375,Đắk Lắk,Khách sạn,320.000 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Phù hợp với trẻ em, Nhà hàng, ","https://lh5.googleusercontent.com/p/AF1QipNDofv-txXmPWXzduXtCUox70zqBjo8Ua1TkwbC, https://lh5.googleusercontent.com/p/AF1QipMVBEy_o0TL1r_fOZsy84h3i0-UciA5rzXvnQDl, https://lh5.googleusercontent.com/p/AF1QipPaEut_v7F1PuPXQrc7doFY-g8YmPyj7bkIWQFI, https://lh5.googleusercontent.com/p/AF1QipO-E0FQ4LBKa_HddJFVjpO-zm8qflaWHqTwegE1, "
