name,address,score,reviews count,latitude,longitude,province,category,price,discount,description images
CT HomeStay Da Nang,"Đà Nẵng, Việt Nam",Chưa xét,0,16.0638809,108.1953278,Đà Nẵng,Homestay,435.458 ₫,Không có giảm giá,
Corgi House Beachstay Danang,"Đà Nẵng, Việt Nam","5,0",0,16.0580292,108.2077408,Đà Nẵng,Homestay,411.287 ₫,Không có giảm giá,
Tree Homestay,"Đà Nẵng, Việt Nam","4,5",0,16.0534821,108.1980057,Đà Nẵng,Homestay,509.150 ₫,Không có giảm giá,
#modern room walk to Da Nang beach,"Đà Nẵng, Việt Nam",Chưa xét,0,16.0704613,108.2067642,Đà Nẵng,Homestay,784.610 ₫,Không có giảm giá,
Kaia Residence Danang Quiet Garden,"Đà Nẵng, Việt Nam","4,7",0,16.0773201,108.1796646,Đà Nẵng,Homestay,1.110.349 ₫,Không có giảm giá,
Sena home 3rd-Near Danang Dragon bridge-Han river,"Đà Nẵng, Việt Nam",Chưa xét,0,16.0602093,108.1954727,Đà Nẵng,Homestay,455.000 ₫,Không có giảm giá,
Siro House Da Nang Homestay,"Đà Nẵng, Việt Nam","4,8",0,16.0542507,108.2042999,Đà Nẵng,Homestay,308.655 ₫,Không có giảm giá,
Y Homestay Đà Nẵng Gần Sân Bay và trung tâm,"Đà Nẵng, Việt Nam",Chưa xét,0,16.0515079,108.1723709,Đà Nẵng,Homestay,1.445.850 ₫,Không có giảm giá,
Baphu House - The centre of Da Nang,"Đà Nẵng, Việt Nam",Chưa xét,0,16.0730934,108.1851196,Đà Nẵng,Homestay,1.366.739 ₫,Không có giảm giá,
Nha Binh Homestay,"Đà Nẵng, Việt Nam",Chưa xét,0,16.0696564,108.1977234,Đà Nẵng,Homestay,704.883 ₫,Không có giảm giá,
Rooftop studio,"Đà Nẵng, Việt Nam",Chưa xét,0,16.0534325,108.20504,Đà Nẵng,Homestay,853.167 ₫,Không có giảm giá,
Moon House Da Nang,"Đà Nẵng, Việt Nam",Chưa xét,0,16.0306606,108.2041397,Đà Nẵng,Homestay,299.544 ₫,Không có giảm giá,
Christina's Da Nang - Co-Living Apartments,"Đà Nẵng, Việt Nam","5,0",0,16.0489998,108.2109146,Đà Nẵng,Homestay,710.704 ₫,Không có giảm giá,
Monarchy Luxury 2 Bedroom Apartment Danang,"Đà Nẵng, Việt Nam",Chưa xét,0,16.0548229,108.1969528,Đà Nẵng,Homestay,1.472.500 ₫,Không có giảm giá,
Homestay Da Nang Full House,"Đà Nẵng, Việt Nam",Chưa xét,0,16.0602703,108.1412506,Đà Nẵng,Homestay,399.898 ₫,Không có giảm giá,
Chau An Villa 5 bedrooms at Ngu Hanh Son,"Đà Nẵng, Việt Nam","4,1",0,16.031229,108.2036133,Đà Nẵng,Homestay,2.992.500 ₫,Không có giảm giá,
Urban Escape in Villa Indochine by Mỹ Khê Beach,"Đà Nẵng, Việt Nam",Chưa xét,0,16.0538311,108.2021027,Đà Nẵng,Homestay,1.027.585 ₫,Không có giảm giá,
Casa Rosa Apartment,"Đà Nẵng, Việt Nam","4,9",0,16.0581398,108.2085419,Đà Nẵng,Homestay,496.962 ₫,Không có giảm giá,
Căn phòng tràn ngập ánh sáng tự nhiên luôn mang lại nguồn năng lượng tích cực,"Đà Nẵng, Việt Nam",Chưa xét,0,16.048418,108.2065353,Đà Nẵng,Homestay,700.000 ₫,Không có giảm giá,
Beautiful apartment near Pham Van Dong Beach,"Đà Nẵng, Việt Nam",Chưa xét,0,16.0672531,108.2040939,Đà Nẵng,Homestay,696.025 ₫,Không có giảm giá,
