name,address,score,reviews count,latitude,longitude,province,category,price,discount,services,description images
Nhật Quang House,"78 Hải Triều, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,1",95,16.0107688,108.1806366,Đà Nẵng,Khách sạn,418.000 ₫,Không có giảm giá,,"https://lh5.googleusercontent.com/p/AF1QipOmIHZfCO9oFpmkZxZxQOYoWplkH12MkLB5P-5_, https://lh5.googleusercontent.com/p/AF1QipPS3JHnrVCByu6yz-6ZF0qgwQTAWMnP2spbsoX4, https://lh5.googleusercontent.com/p/AF1QipPAG8FuUHxnW3wQ9Mp9ErRPaOU0yUyAMA4vMk0o, https://lh5.googleusercontent.com/p/AF1QipOL6of2U3gj19FtfspoVLxZ7aZ1OtfrjJKvznPG, "
Bonny Boutique Hotel Da Nang,"01-03 Khuê Mỹ Đông 10, Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,5",244,16.0376551,108.1739056,Đà Nẵng,Khách sạn,636.309 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Bể bơi, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Bếp ở một số phòng, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipN7C7-179_GY_gUp1t8bkRWZus-E6XrMP9ZscHa, https://lh5.googleusercontent.com/p/AF1QipOoGCIuYN3mGZ3B-vq6p22aeCimrShZv_pZoio6, https://lh5.googleusercontent.com/p/AF1QipM29Ke_A9y-yR_diF-ivjFqzojgrKt_EVYfc8Su, https://lh5.googleusercontent.com/p/AF1QipNXOskgDS8yN_3a7EJyJzOkWG5LW-8QSHVbM_FM, "
Khách Sạn Avatar Đà Nẵng,"104 Hoàng Kế Viêm, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,7",419,16.0496168,108.1748896,Đà Nẵng,Khách sạn 4 sao,743.439 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Bể bơi, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Có đường ra bãi biển, Nhà hàng, Bếp ở một số phòng, Xe đưa đón ra sân bay, Bồn tắm nước nóng, Spa, Trung tâm thể dục, ","https://lh5.googleusercontent.com/p/AF1QipNs2dGAl7SWvDX8f4QQURRg4gMvZz1fzbevszkg, https://lh5.googleusercontent.com/p/AF1QipP-unOBQVeXG398CB_tQCCLrsiYpxeobbS_LpQs, https://lh5.googleusercontent.com/p/AF1QipMm1kgJnEUtXckdBrUjBSlBeNwI2tsPTcj4RRf_, https://lh5.googleusercontent.com/p/AF1QipND9BNHjHKO3Gl_iooolGZ73Lc5saXmmkuDXJFg, "
Khách sạn Golden Lotus Grand,"86 Lê Quang Đạo, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,9",2.680,16.049943,108.1732216,Đà Nẵng,Khách sạn 4 sao,1.235.098 ₫,Ít hơn 17% so với bình thường,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Bể bơi, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Dịch vụ phòng, Nhà hàng, Xe đưa đón ra sân bay, Spa, ","https://lh5.googleusercontent.com/p/AF1QipPC_6anysqHIs9QO-zwbkAFD_iHvU97wmBmakLb, https://lh5.googleusercontent.com/p/AF1QipPZOnxtHY13pYULfwahXHg3k6yQs6r_u96bo6D6, https://lh5.googleusercontent.com/p/AF1QipP7OTPGJZc10Ruih9pcvW135TIf4ComDJtjbUD0, https://lh5.googleusercontent.com/p/AF1QipNH1TmOl6G5_VFJT4gF0AXH8E641-LmVgEUaMFv, "
Golden Lotus Luxury Hotel Da Nang,"198B Trần Bạch Đằng, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 50000, Việt Nam","4,8",686,16.0525002,108.1745334,Đà Nẵng,Khách sạn,1.071.979 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Bể bơi, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Có đường ra bãi biển, Nhà hàng, Xe đưa đón ra sân bay, Bồn tắm nước nóng, Spa, Trung tâm thể dục, ","https://lh5.googleusercontent.com/p/AF1QipN3vC4obPFmcyPqr9utAtLGbEfza_2PEdi1bCz_, https://lh5.googleusercontent.com/p/AF1QipNHm-8qUKduSvAaOHLXwQ8FoFT4OSjrigDIUxjR, https://lh5.googleusercontent.com/p/AF1QipN1yy6jMUH6fcEXQxbDnFhOiIzciQYak1Tm2t-B, https://lh5.googleusercontent.com/p/AF1QipPw1t6gPDx7qQ4lHNt3dRborlAyuk91TsS9TOMk, "
The Shine Hotel Da Nang,"255 Đ. Lê Văn Hiến, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,2",39,16.0121322,108.1844719,Đà Nẵng,Khách sạn,292.644 ₫,Không có giảm giá,"Wi-Fi miễn phí, Đỗ xe miễn phí, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Nhà hàng, Bếp ở một số phòng, Xe đưa đón ra sân bay, Quán bar, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipNVZKNi757ztUhUpN6EZ4e4CzWxjqW9QOtOaKSJ, https://lh5.googleusercontent.com/p/AF1QipNbboWM4lT5HAgukAc755ePTex1JdUJpPXpQRNH, https://lh5.googleusercontent.com/p/AF1QipMbhiHB2DcSG-e42aLhPUmMALy16bVPAF8BlmKo, https://lh5.googleusercontent.com/p/AF1QipNHoToz73ENWNsnm5-hwAoAF_zq5dWMHxCYGr4F, "
Premier Village Đà Nẵng Resort,"99 Võ Nguyên Giáp, Street, Ngũ Hành Sơn, Đà Nẵng 055000, Việt Nam","4,7",2.905,16.0420899,108.1786526,Đà Nẵng,Khách sạn 5 sao,12.049.182 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng có tính phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Trung tâm thương mại, Có đường ra bãi biển, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Bếp trong tất cả các phòng, Xe đưa đón ra sân bay, Bồn tắm nước nóng, Trung tâm thể dục, Sân gôn, Quán bar, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipNK4QAXCG0CfXiPv09KVEyD0SfIZxE6eke1jr5s, https://lh5.googleusercontent.com/p/AF1QipOKc-2J72U4i_h_mqpyxAfF6-5Jrgj01XO-WWm0, https://lh5.googleusercontent.com/p/AF1QipN1gPu6lG52DqYzyKKdFzlSGNa7G7mQgMw_JC6n, https://lh5.googleusercontent.com/p/AF1QipMSk6aK7GsGc61GFd2sNt4ob07TCMgE-MFGk2NH, "
Khách sạn Lavencos biển Mỹ Khê Đà Nẵng,"362 Võ Nguyên Giáp, Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,7",279,16.04372,108.1754994,Đà Nẵng,Khách sạn,466.971 ₫,Ít hơn 25% so với bình thường,,"https://lh5.googleusercontent.com/p/AF1QipP7Kf4KsUsHZWjO8lkhf8DhhMu2m-hQeaXqSUZV, https://lh5.googleusercontent.com/p/AF1QipPHD4PXihOu17AVG07B9mW1OvjPT8nHWJOsOfQ7, https://lh5.googleusercontent.com/p/AF1QipN0q4vAz_IxLPr5iUI3bmmg0yK2ndfxp8ksw1u3, https://lh5.googleusercontent.com/p/AF1QipPM3YmBsDIzDTGq-fcwKCTq_hU8gB2PD-r_ETO2, "
SeaColor Beachstay Danang By Haviland,"446 Võ Nguyên Giáp, Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,9",213,16.0401169,108.1770395,Đà Nẵng,Khách sạn,172.732 ₫,Ít hơn 50% so với bình thường,"Wi-Fi miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Trung tâm thương mại, Có đường ra bãi biển, Bếp ở một số phòng, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipPaUqwHZAfD3BSbl7-cM3ckEu_93S0ZOlR_iufR, https://lh5.googleusercontent.com/p/AF1QipOxcZNjdDye3W4GxjR8IMy2aQV8RlKoANIJhX_o, https://lh5.googleusercontent.com/p/AF1QipNVNejce4KbJRMTxUMPs_lhG4qzloaTcebfIOKg, https://lh5.googleusercontent.com/p/AF1QipMg-aBSbXm1I942kyWxEAfs02j7Cq-rrbuu5dUS, "
Furama Resort Danang,"105 Võ Nguyên Giáp, Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,5",4.823,16.0399456,108.1789703,Đà Nẵng,Khách sạn 5 sao,3.345.289 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Trung tâm thương mại, Có đường ra bãi biển, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Xe đưa đón ra sân bay, Bồn tắm nước nóng, Spa, Trung tâm thể dục, Quán bar, ","https://lh5.googleusercontent.com/p/AF1QipPs-TxWLwrEcp9H53IK1TMMbf0AWnzioPmQzNiu, https://lh5.googleusercontent.com/p/AF1QipMGyuRIq0q__nuU1FsNxlDFK2KGCNDeoBxpYI2y, https://lh5.googleusercontent.com/p/AF1QipOLGVzruja-DbuJ4JecvMzPs17wJAIFonkcDNdI, https://lh5.googleusercontent.com/p/AF1QipO7Qy78CqgBvGBCsmp11DWtDL5lgFFfl7lpp88M, "
