id,name,address,score,reviews count,latitude,longitude,province,category,price,discount,services,description images
0,TMS Hotel Da Nang Beach,"292 Võ Nguyên Giáp, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,6",1.773,16.0511516,108.2122374,Đà Nẵng,Khách sạn 5 sao,1.725.160 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Bể bơi, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Có đường ra bãi biển, Dịch vụ phòng, Nhà hàng, Bếp ở một số phòng, Xe đưa đón ra sân bay, Spa, Trung tâm thể dục, Quán bar, ","https://lh5.googleusercontent.com/p/AF1QipNN-W-FCDkNlaekaMLov9GZC_BEIc2SzcCE4DQE, https://lh5.googleusercontent.com/p/AF1QipNlLA5ecm-8DnZ9t9dP9cRNt27BRtvrTr1sx6ku, https://lh5.googleusercontent.com/p/AF1QipM3zIV9CdBlvf9YO3_7ZQ_ATm03hL9cc2xHo3DN, https://lh5.googleusercontent.com/p/AF1QipOzvBNGtOyoPBsiYlOSGZbJsGFowTDPhUeyEPlJ, "
1,Golden Lotus Luxury Hotel Da Nang,"198B Trần Bạch Đằng, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 50000, Việt Nam","4,8",703,16.0525002,108.2105823,Đà Nẵng,Khách sạn,1.032.813 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Có đường ra bãi biển, Dịch vụ phòng, Nhà hàng, Xe đưa đón ra sân bay, Bồn tắm nước nóng, Spa, Trung tâm thể dục, ","https://lh5.googleusercontent.com/p/AF1QipN3vC4obPFmcyPqr9utAtLGbEfza_2PEdi1bCz_, https://lh5.googleusercontent.com/p/AF1QipMhHKxj7OlkW0_cMF1aF0w3CVcT8JlYtWSinNhd, https://lh5.googleusercontent.com/p/AF1QipN1yy6jMUH6fcEXQxbDnFhOiIzciQYak1Tm2t-B, https://lh5.googleusercontent.com/p/AF1QipPw1t6gPDx7qQ4lHNt3dRborlAyuk91TsS9TOMk, "
2,Khách sạn Golden Lotus Grand,"86 Lê Quang Đạo, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,9",2.685,16.049943,108.2092705,Đà Nẵng,Khách sạn 4 sao,1.079.172 ₫,Ít hơn 23% so với bình thường,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Bể bơi, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Nhà hàng, Xe đưa đón ra sân bay, Spa, ","https://lh5.googleusercontent.com/p/AF1QipPC_6anysqHIs9QO-zwbkAFD_iHvU97wmBmakLb, https://lh5.googleusercontent.com/p/AF1QipPZOnxtHY13pYULfwahXHg3k6yQs6r_u96bo6D6, https://lh5.googleusercontent.com/p/AF1QipPlo9z_xgOV3QDTihspOb3ar_iDf19roA721Gtk, https://lh5.googleusercontent.com/p/AF1QipNH1TmOl6G5_VFJT4gF0AXH8E641-LmVgEUaMFv, "
3,Wink Hotel Danang Centre,"178 Trần Phú, Phước Ninh, Hải Châu, Đà Nẵng 550000, Việt Nam","4,6",694,16.049943,108.1783715,Đà Nẵng,Khách sạn 4 sao,900.381 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Chấp nhận vật nuôi, Nhà hàng, Quán bar, ","https://lh5.googleusercontent.com/p/AF1QipP5u23i9PNu5cNgSgByc7qX1yKWSYnyBH-5-TpW, https://lh5.googleusercontent.com/p/AF1QipPpxMpRZRJX7x2yQ6D1aIqA-gKT4wpNd2ZIApld, https://lh5.googleusercontent.com/p/AF1QipMYzFDM37k6lcNymVziOrvBFjzKjv2mgtdtmosn, https://lh5.googleusercontent.com/p/AF1QipP82-9Ozx04ziYqB0lBqUWKALGlr9xylTObS0Zo, "
4,SeaColor Beachstay Danang By Haviland,"446 Võ Nguyên Giáp, Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,9",214,16.0401169,108.2130884,Đà Nẵng,Khách sạn,167.005 ₫,Ít hơn 43% so với bình thường,"Wi-Fi miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Trung tâm thương mại, Có đường ra bãi biển, Bếp ở một số phòng, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipPaUqwHZAfD3BSbl7-cM3ckEu_93S0ZOlR_iufR, https://lh5.googleusercontent.com/p/AF1QipOxcZNjdDye3W4GxjR8IMy2aQV8RlKoANIJhX_o, https://lh5.googleusercontent.com/p/AF1QipNVNejce4KbJRMTxUMPs_lhG4qzloaTcebfIOKg, https://lh5.googleusercontent.com/p/AF1QipMg-aBSbXm1I942kyWxEAfs02j7Cq-rrbuu5dUS, "
5,Yarra Ocean Suites Danang,"304 Võ Nguyên Giáp, Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng 50507, Việt Nam","4,8",930,16.0488602,108.2127592,Đà Nẵng,Khách sạn 4 sao,695.392 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Có đường ra bãi biển, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Xe đưa đón ra sân bay, Bồn tắm nước nóng, Spa, Trung tâm thể dục, Quán bar, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipMpWzbV1buV2va026zTUuNgijMXEJfstQZLhknv, https://lh5.googleusercontent.com/p/AF1QipOPkm1XbWbUC2NO55KkoTrqMjQHfzbirZgmcn8X, https://lh5.googleusercontent.com/p/AF1QipOB7Y9Z24moeO_xIzQORIS9_PIGN0e3ITllb1-M, https://lh5.googleusercontent.com/p/AF1QipMn9_6HuKuBTSWpL4kza2oHm7HgA_Lfl7vQwBM2, "
6,Central Beach Hotel,"lo 35-36 Trần Bạch Đằng, Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,0",103,16.0487836,108.2120081,Đà Nẵng,Khách sạn,304.440 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng có tính phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Trung tâm thương mại, Có đường ra bãi biển, Nhà hàng, Xe đưa đón ra sân bay, Sân gôn, Quán bar, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipPxiKoUHnc9VQLvLAGqU2ANbOgwBrPizi8OXy9n, https://lh5.googleusercontent.com/p/AF1QipO4bW95eKuMCpfaw6skdnAEBlr8TmbExeEcVb-w, https://lh5.googleusercontent.com/p/AF1QipPCI9GaszDqgBdLvnyScX41NenZkeYvRhKOobt8, https://lh5.googleusercontent.com/p/AF1QipO2R9oUlTsmUASrMpKY4ThViaUVnqTtHPQMop5C, "
7,Khách Sạn Avatar Đà Nẵng,"104 Hoàng Kế Viêm, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,7",417,16.0496168,108.2109385,Đà Nẵng,Khách sạn 4 sao,751.713 ₫,Ít hơn 21% so với bình thường,"Wi-Fi miễn phí, Bữa sáng miễn phí, Bãi đỗ xe, Bể bơi, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Có đường ra bãi biển, Nhà hàng, Bếp ở một số phòng, Xe đưa đón ra sân bay, Bồn tắm nước nóng, Spa, Trung tâm thể dục, ","https://lh5.googleusercontent.com/p/AF1QipNs2dGAl7SWvDX8f4QQURRg4gMvZz1fzbevszkg, https://lh5.googleusercontent.com/p/AF1QipM8RPPGsCNX5n8wnHLSrj9N3oF7hVao4zMOUjXV, https://lh5.googleusercontent.com/p/AF1QipPEz-vf6O_Z3AFmr1SwtIcIRi4fEIGYoTBTS6Vi, https://lh5.googleusercontent.com/p/AF1QipND9BNHjHKO3Gl_iooolGZ73Lc5saXmmkuDXJFg, "
8,Cozy Danang Boutique Hotel,"37 Cô Giang, Phước Ninh, Hải Châu, Đà Nẵng 550000, Việt Nam","4,7",344,16.0496168,108.1800395,Đà Nẵng,Khách sạn,1.057.351 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Nhà hàng, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipNhScqNlhVXsvPkPattCwkW7AU-OiLJS2lL8sA, https://lh5.googleusercontent.com/p/AF1QipPYVlVfgtjExEFebvZ9Meol5U8yY7uCLwHh2jtC, https://lh5.googleusercontent.com/p/AF1QipO8xxvh3NDaO3UvBnwBEq-VxZxdk-YYAVqwjaYL, https://lh5.googleusercontent.com/p/AF1QipO5ob437B6se3Pj-mQsuwxrrU_M3XWUm1ZtvBjs, "
9,Seahorse Signature By Haviland,"05 Huỳnh Thúc Kháng, Nam Dương, Hải Châu, Đà Nẵng 550000, Việt Nam","4,9",370,16.0616529,108.1824836,Đà Nẵng,Khách sạn 3 sao,478.478 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Trung tâm thương mại, Chấp nhận vật nuôi, Nhà hàng, Bếp trong tất cả các phòng, Xe đưa đón ra sân bay, Bồn tắm nước nóng, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipMWvcQeG1q820u8-9xBgvokRQDle_AtYwJbHs2M, https://lh5.googleusercontent.com/p/AF1QipNtnezOJKIfLx6DX4mvXYwEQQA0BtMoaD4hl-SK, https://lh5.googleusercontent.com/p/AF1QipOHr2KS3UAvuFPLVqx74ezm-IPH1k3rJEqEqo7e, https://lh5.googleusercontent.com/p/AF1QipPKNnc-osAiZyzRexDIYD-TpoiCpwNs1DtorU8n, "
10,Premier Village Đà Nẵng Resort,"99 Võ Nguyên Giáp, Street, Ngũ Hành Sơn, Đà Nẵng 055000, Việt Nam","4,7",2.911,16.0420899,108.2147015,Đà Nẵng,Khách sạn 5 sao,10.280.939 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng có tính phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Trung tâm thương mại, Có đường ra bãi biển, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Bếp trong tất cả các phòng, Xe đưa đón ra sân bay, Bồn tắm nước nóng, Trung tâm thể dục, Sân gôn, Quán bar, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipNK4QAXCG0CfXiPv09KVEyD0SfIZxE6eke1jr5s, https://lh5.googleusercontent.com/p/AF1QipMPHDps6p5CzIRKd1U8GM-OIFidrgd_TYI0CTTh, https://lh5.googleusercontent.com/p/AF1QipOGZqVLNbKYyJiDBE42Rfo1Or-Pcc2GJft7xyV2, https://lh5.googleusercontent.com/p/AF1QipMSk6aK7GsGc61GFd2sNt4ob07TCMgE-MFGk2NH, "
11,Monalisa Luxury Hotel,"198 Trần Bạch Đằng, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,5",111,16.052786,108.2105513,Đà Nẵng,Khách sạn,535.000 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Có đường ra bãi biển, Phù hợp với trẻ em, Nhà hàng, Xe đưa đón ra sân bay, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipNqyyewCLuWP-PeTyj0SjKv707RP9P1tWAjYUiT, https://lh5.googleusercontent.com/p/AF1QipOjJvvTrKE-Te_4OO4v6Zlv-hdR90C9WEV9SgSp, https://lh5.googleusercontent.com/p/AF1QipNTCQa5AjLZ7ruJr12xvcUKecr8UPQ8GXv3VWiY, https://lh5.googleusercontent.com/p/AF1QipOTOxM3z1qjPXXxtumNyWMosdsH0Be2Y7M978Ir, "
