name,address,score,reviews count,province,category,price,discount,services,description images,latitude,longitude
Khách sạn Golden Lotus Grand,"86 Lê Quang Đạo, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,9",2.652,Đà Nẵng,Khách sạn 4 sao,1.013.770 ₫,Ít hơn 16% so với bình thường,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Bể bơi, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Nhà hàng, Xe đưa đón ra sân bay, Spa, ","https://lh5.googleusercontent.com/p/AF1QipPC_6anysqHIs9QO-zwbkAFD_iHvU97wmBmakLb, https://lh5.googleusercontent.com/p/AF1QipNkUM2lRqSdhaqq5dtqvLtqHtg0Uffz4QyQ1aci, https://lh5.googleusercontent.com/p/AF1QipPlo9z_xgOV3QDTihspOb3ar_iDf19roA721Gtk, https://lh5.googleusercontent.com/p/AF1QipNH1TmOl6G5_VFJT4gF0AXH8E641-LmVgEUaMFv, ",16.04994,108.24532
King House Villa Hotel,"25 Mỹ Khê 1, Phước Mỹ, Sơn Trà, Đà Nẵng 550000, Việt Nam","4,3",327,Đà Nẵng,Khách sạn 3 sao,218.587 ₫,Ít hơn 50% so với bình thường,"Wi-Fi miễn phí, Bữa sáng, Bãi đỗ xe, Bể bơi, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Phù hợp với trẻ em, Nhà hàng, Bếp ở một số phòng, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipMfEjFZcRtaWHn_TwkCuqPzgq_0Oh9gZFZ-erGO, https://lh5.googleusercontent.com/p/AF1QipPgniAbUbUeqGtkvb4y6DkY7B5uDBd3BCjpJ_3T, https://lh5.googleusercontent.com/p/AF1QipMZXIXwgw8027kFBEM1n0EZjevjvGFaiUrE7Zea, https://lh5.googleusercontent.com/p/AF1QipPRA56JXk0Y1o7aUhgaP4g_9V7LrDAZutWPiEXM, ",16.06368,108.23990
Hanami Hotel Danang,"61-63 Hoàng Kế Viêm, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,7",1.523,Đà Nẵng,Khách sạn 3 sao,222.875 ₫,Ít hơn 48% so với bình thường,"Wi-Fi miễn phí, Bữa sáng có tính phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Trung tâm thương mại, Chấp nhận vật nuôi, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Bếp ở một số phòng, Xe đưa đón ra sân bay, Bồn tắm nước nóng, Quán bar, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipPIVUgYTLeTD1OJNHPkRk6gBgkn0V43isHPvTpM, https://lh5.googleusercontent.com/p/AF1QipNm_t5Qy2M9mzRHccsf_GGGQQacJE44yiNNGGpD, https://lh5.googleusercontent.com/p/AF1QipP5bWa7TW1u8hOqXaef_FLP_w3kPhnkig7_fMW_, https://lh5.googleusercontent.com/p/AF1QipMf0hf6MAYt0WPYQ7304RFZJugVKsIf0PGMEHOP, ",16.04861,108.24244
Canvas Danang Beach Hotel,"234 Võ Nguyên Giáp, Phước Mỹ, Sơn Trà, Đà Nẵng 550000, Việt Nam","4,8",1.216,Đà Nẵng,Khách sạn 4 sao,838.459 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Có đường ra bãi biển, Dịch vụ phòng, Nhà hàng, Xe đưa đón ra sân bay, Bồn tắm nước nóng, Spa, Trung tâm thể dục, ","https://lh5.googleusercontent.com/p/AF1QipMOAYN0YD44JJ6haxrxWcZ6O5wpyTSeT0bcaIpS, https://lh5.googleusercontent.com/p/AF1QipOnvtmXOTvGrrL4GayR_IgdDST7DV_drinAtKx7, https://lh5.googleusercontent.com/p/AF1QipORon73pBgK3W5jc0LalVKNCioQXcBUz-sFQ3QP, https://lh5.googleusercontent.com/p/AF1QipM2fmX6pS_papbKIWNAEjx3qdEuHKPSpcaaUzXO, ",16.06636,108.24505
Sofiana My Khe Hotel & Spa,"56 Trần Bạch Đằng, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,8",781,Đà Nẵng,Khách sạn,443.048 ₫,Ít hơn 25% so với bình thường,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Có đường ra bãi biển, Nhà hàng, Xe đưa đón ra sân bay, Spa, ","https://lh5.googleusercontent.com/p/AF1QipPT9QxTvK6Y-rSDbX-qDnPuRfOOlV6vi0uIbIwp, https://lh5.googleusercontent.com/p/AF1QipNLyJV8pBMG-RtvInNm7_Q2NgK9zNaUEpdhjA1m, https://lh5.googleusercontent.com/p/AF1QipMR1giUz2Nv0Y4ruZndjNhtKlz4jLfXeuQfz5iB, https://lh5.googleusercontent.com/p/AF1QipMvlSXz74xQhUxRWOnUcUjB9tg0I6r0wsgLUewx, ",16.04967,108.24775
Golden Lotus Luxury Hotel Da Nang,"198B Trần Bạch Đằng, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 50000, Việt Nam","4,8",705,Đà Nẵng,Khách sạn,1.017.809 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Có đường ra bãi biển, Dịch vụ phòng, Nhà hàng, Xe đưa đón ra sân bay, Bồn tắm nước nóng, Spa, Trung tâm thể dục, ","https://lh5.googleusercontent.com/p/AF1QipN3vC4obPFmcyPqr9utAtLGbEfza_2PEdi1bCz_, https://lh5.googleusercontent.com/p/AF1QipOvuz6fTFPdhXpxu2St7V6r-g-atbEcq3ZAQ6kq, https://lh5.googleusercontent.com/p/AF1QipMY4nbJ6Ugb24lOu0Zr909wPLniBPwlymBzjBG4, https://lh5.googleusercontent.com/p/AF1QipPw1t6gPDx7qQ4lHNt3dRborlAyuk91TsS9TOMk, ",16.05250,108.24663
Premier Village Đà Nẵng Resort,"99 Võ Nguyên Giáp, Street, Ngũ Hành Sơn, Đà Nẵng 055000, Việt Nam","4,7",2.911,Đà Nẵng,Khách sạn 5 sao,10.293.536 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng có tính phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Trung tâm thương mại, Có đường ra bãi biển, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Bếp trong tất cả các phòng, Xe đưa đón ra sân bay, Bồn tắm nước nóng, Trung tâm thể dục, Sân gôn, Quán bar, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipNK4QAXCG0CfXiPv09KVEyD0SfIZxE6eke1jr5s, https://lh5.googleusercontent.com/p/AF1QipMaXJnzeaEWX_-zVd9FElRiZU-ma4u0lAY4MvfZ, https://lh5.googleusercontent.com/p/AF1QipOGZqVLNbKYyJiDBE42Rfo1Or-Pcc2GJft7xyV2, https://lh5.googleusercontent.com/p/AF1QipMSk6aK7GsGc61GFd2sNt4ob07TCMgE-MFGk2NH, ",16.04209,108.25075
Mường Thanh Luxury Đà Nẵng Hotel,"270 Võ Nguyên Giáp, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,4",4.987,Đà Nẵng,Khách sạn 5 sao,1.143.133 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Trung tâm thương mại, Có đường ra bãi biển, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Xe đưa đón ra sân bay, Bồn tắm nước nóng, Spa, Trung tâm thể dục, Quán bar, ","https://lh5.googleusercontent.com/p/AF1QipMZIi49Z9tOS5UCHfJOewDcVZd6AwzXzux7QMAz, https://lh5.googleusercontent.com/p/AF1QipNsG81aM6gHD4j269sMgqbPt5YS029Y8UPKKKuv, https://lh5.googleusercontent.com/p/AF1QipMJSj__NAgflUxv-pERyc8T66Qray4bAkbPzYRa, https://lh5.googleusercontent.com/p/AF1QipMzEsSxHnzOdIBjyuiEJST4vhxRkxB8OiaaWxk1, ",16.05372,108.24736
Lamanga Hotel & Suites,"278 Đ. 2 Tháng 9, Hoà Cường Bắc, Hải Châu, Đà Nẵng 550000, Việt Nam","4,5",141,Đà Nẵng,Khách sạn 3 sao,513.378 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Nhà hàng, Bếp ở một số phòng, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipPAMd4tdVsuBn3iluyY59407Z1HU3A2umUzpwKr, https://lh5.googleusercontent.com/p/AF1QipMY-EM4FFnTXyTeSkDS6nnfJPSO-A52qZcVW0KN, https://lh5.googleusercontent.com/p/AF1QipPgeiaP9IwM0fh2v80Ha1CVq1sptCpYstLYVc7b, https://lh5.googleusercontent.com/p/AF1QipMICRPWHUYhH-QK2iIoXPvJ8rFQCZ8oz_BQyzXM, ",16.04524,108.22252
Bonny Boutique Hotel Da Nang,"01-03 Khuê Mỹ Đông 10, Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,5",245,Đà Nẵng,Khách sạn,601.313 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Bể bơi, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Bếp ở một số phòng, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipN7C7-179_GY_gUp1t8bkRWZus-E6XrMP9ZscHa, https://lh5.googleusercontent.com/p/AF1QipOoGCIuYN3mGZ3B-vq6p22aeCimrShZv_pZoio6, https://lh5.googleusercontent.com/p/AF1QipM29Ke_A9y-yR_diF-ivjFqzojgrKt_EVYfc8Su, https://lh5.googleusercontent.com/p/AF1QipNXOskgDS8yN_3a7EJyJzOkWG5LW-8QSHVbM_FM, ",16.03766,108.24600
