name,address,score,reviews count,avg price,province,description images
Nhà hàng Ngon Cao Bằng,05 Hoàng Như,"4,0",659,100.000-200.000 ₫,Cao Bằng,"https://lh5.googleusercontent.com/p/AF1QipNl5DN5e6HBNZODvd6DzPqJnIuPcBG4o68w8rg, https://lh5.googleusercontent.com/p/AF1QipN-64JIKM6I_8xeKhZdygoFt76-1NX309iC7Mdr, "
Nhà Hàng Vua Lẩu Nướng - Nhà Hàng Lá Cọ Xanh,Phai Khắt Nà Ngần,"3,9",277,100.000-200.000 ₫,Cao Bằng,"https://lh5.googleusercontent.com/p/AF1QipOsSxAmX67dpf3Fg9oKIvJVgU0xdVthNyjf4CSh, https://lh5.googleusercontent.com/p/AF1QipOWtafopY8SyHWL2MIPr6JVANDeOfLVPtje-NK7, "
Nhà Hàng Ngã Ba Sông-Lẩu Thức Yến,Đường Pác Bó,"3,8",248,100.000-300.000 ₫,Cao Bằng,"https://lh5.googleusercontent.com/p/AF1QipM48vv92nlicxGi7MQGpQ2djBUEAfDS1eGOIXhV, https://lh5.googleusercontent.com/p/AF1QipMtlTEygimkQZ-K9xWDpi6FupNTKo6C7NMTaxBS, "
Hùng Trinh BBQ,165 Phố Kim Đồng,"3,8",140,None,Cao Bằng,"https://lh5.googleusercontent.com/p/AF1QipPntJetVFGw02RNnLpdDydqbRUfgVXNZQHJ14FX, https://lh5.googleusercontent.com/p/AF1QipObbyTvYxtOl6k4WbEzODyyrbMJXJIxuhwtO0DQ, "
Pedro's Pizza,Cầu Bằng Giang,"4,7",387,100.000-200.000 ₫,Cao Bằng,"https://lh5.googleusercontent.com/p/AF1QipO31AcN6Ou6GajQXy3gxpCMGK2il3zUdnplK2J6, https://lh5.googleusercontent.com/p/AF1QipMSDzExnk2Aa475iBh5-5jhTKIQfYhfScvYuAQn, "
Hạt Dẻ Quán,Số 2 Phố Kim Đồng,"4,1",307,200.000-300.000 ₫,Cao Bằng,"https://lh5.googleusercontent.com/p/AF1QipMHyQoWXrj5dtemVU7Q_XO_yDmgxIxVWlJDuDB4, https://lh5.googleusercontent.com/p/AF1QipPs6BZfGQ8bA2Hcykj9n3_G98zxl-CfwaH9hvZ_, "
Nhà hàng Thu Tường,38 Phố Lý Tự Trọng,"3,9",317,100.000-200.000 ₫,Cao Bằng,"https://lh5.googleusercontent.com/p/AF1QipOqAct3potcv8MhSpKl-lm-ZzpMxr0YT2DQDya8, https://lh5.googleusercontent.com/p/AF1QipNVeOsjDBuLKdso9GVxeMUMYasaS4kXJPWzhszO, "
Than Hoa BBQ,M783+GFW,"4,1",137,100.000-200.000 ₫,Cao Bằng,"https://lh5.googleusercontent.com/p/AF1QipMb8OnFaZvSiq6LrnpogCcbN_THFZ7zJZ5hMkV7, https://lh5.googleusercontent.com/p/AF1QipO1n1Xn4mJaIr3lFv0l9LTagljSqPmTZnvv-k0i, "
Nhà Hàng Khách Sạn 34 Nga Lượng,5 Phai Khắt Nà Ngần,"4,1",163,100.000-200.000 ₫,Cao Bằng,"https://lh5.googleusercontent.com/p/AF1QipM-n-ZxyP1Ev1ZjRdq7XdGS-46Zrmi7Vv1Pg5Ke, https://lh5.googleusercontent.com/p/AF1QipPWTYBnpdEigmFkAfYpstjt2moP5NOk5PVWIBkW, "
Nhà Hàng Trống Đồng,M7F2+V3P,"4,0",176,None,Cao Bằng,"https://lh5.googleusercontent.com/p/AF1QipMMBgvw_fl0icroqcc13QECeTQq6FMkB4aG8Fvb, https://lh5.googleusercontent.com/p/AF1QipMrwCzS0-kHjZiq2FiiIRLAD9zn_VGOfuT_J3Wt, "
Nhà Hàng Phố Núi,QL3,"4,7",14,None,Cao Bằng,"https://lh5.googleusercontent.com/p/AF1QipNETBCrrH2uWP8Sx8D0fKtSq1LKfz4h5FeOo255, https://lh5.googleusercontent.com/p/AF1QipOeaUmD-_1N-Rap6yrWyhskbIjo51lnNyAIHDZn, "
Nhà Hàng Huy Linh Cao Bằng - Vua Vịt Trời,08 tổ 5,"4,6",35,100.000-200.000 ₫,Cao Bằng,"https://lh5.googleusercontent.com/p/AF1QipMMcFnSI71fMRRgbJB8Oq8fZz6nUME4GmIkN-yK, https://lh5.googleusercontent.com/p/AF1QipN-Cx6VQqxtLJmSI9Wf2KS5qSXN1wTq_ucXZ59N, "
Yên - Ngon như mẹ nấu,22 Đường 1-4,"4,7",163,100.000-200.000 ₫,Cao Bằng,"https://lh5.googleusercontent.com/p/AF1QipMpIjjuDjgOYXtUP4_VvNYmDYWUVTqYX6y0APCi, https://lh5.googleusercontent.com/p/AF1QipOZ_AuB8aluEk2FwDdSPtnV8pFkMlVireHqjzGv, "
Nhà Hàng Hiền Tú,QL3,"3,7",134,None,Cao Bằng,"https://lh5.googleusercontent.com/p/AF1QipNVi5SRNXQp8Lf_5480esYmwDn8FaEq2NPCoXOH, https://lh5.googleusercontent.com/p/AF1QipPc6cKqSZGQknyGWqBp8I3r5e0sdy7IG5Z0IB_f, "
Quán bánh cuốn Cao Bằng chị Thi ( bà Hải ) - cực kỳ ngon,"004, phố Đường Hiến Giang","4,7",18,1-100.000 ₫,Cao Bằng,"https://lh5.googleusercontent.com/p/AF1QipMqsJZEizlpftnuQgtDdEZkZo3u7WTtvQ9AwmmN, https://lh5.googleusercontent.com/p/AF1QipMPg8hTYqwaPIYBGuTP0akfFH-67zd4PM7c-yy-, "
Nhà Hàng Cao Bằng,28 Bế Văn Đàn,"3,6",149,None,Cao Bằng,"https://lh5.googleusercontent.com/p/AF1QipPIZ9i8kLLlsNvKDc765rp7wAUH8a_jOMTtOyk, https://lh5.googleusercontent.com/p/AF1QipPnd2qSUPKeBALpbPaD0FKCwkM0xAsC8nAeAQO9, "
Nhà hàng Phú Sơn,M7J4+F95,"3,7",84,None,Cao Bằng,"https://lh5.googleusercontent.com/p/AF1QipNBKa_banxhM8OYeVT9t31TKHn_UVuvWl-PY8uK, https://lh5.googleusercontent.com/p/AF1QipNnuXwm09_ka2R7ojVJhPNYwqMPc3ZwY8-_m6AW, "
DÊ RÉ HÀ ĐÔNG (Cao Bằng),030 Tổ 17,"4,1",124,100.000-200.000 ₫,Cao Bằng,"https://lh5.googleusercontent.com/p/AF1QipNZu8KjuL8GrybFi3mFc1FstxCtPQxxRFNm8V13, https://lh5.googleusercontent.com/p/AF1QipNkUodCrVK4ah22hO7gWOEYCMZPh9KejVwKN2Xh, "
Nhất Lẩu,27 Kim Đồng,"4,2",11,None,Cao Bằng,"https://lh5.googleusercontent.com/p/AF1QipM4R0S1-WuqKI0yGnDvRe8p5EJMWEyzbpUYQIn2, https://lh5.googleusercontent.com/p/AF1QipPqd0eOzVK1jM7lpM4nSsRPP1PteTzO-s2tTk4o, "
9 NƯỚNG BBQ,"M749+JGX, Đường 3/10","4,1",20,None,Cao Bằng,"https://lh5.googleusercontent.com/p/AF1QipNUD7nn4MJb9dbFkQp2pf4nLVYr_RSu67zD97zh, https://lh5.googleusercontent.com/p/AF1QipOI2__YZitYNZRQ0ulaJtySOUHKgUrpCB_NPw7l, "
Nhà hàng Á Đông BBQ Fried Chicken & Pizza Cao Bằng,018 Phố Cũ,"4,0",158,1-100.000 ₫,Cao Bằng,"https://lh5.googleusercontent.com/p/AF1QipNnwF2LWDmEgD7Xv-CKc_9Gg6zgG0lmSU9cDrKy, https://lh5.googleusercontent.com/p/AF1QipOL60HTlczYFGsQXe1l2ofV-zax_KhPaE_5SY63, "
Quán ăn sáng Cao Bằng,Cao Bằng,"4,4",80,1-100.000 ₫,Cao Bằng,"https://lh5.googleusercontent.com/p/AF1QipP0FleY4lQkais5infCH5gLD4GTi2bdq15-pnjt, https://lh5.googleusercontent.com/p/AF1QipPwnQpOyC8eqZN9lfWvQGC8Et_W0HXUdQcXQPne, "
QUÁN ĂN ĐÊM HIẾU YẾN,M6M8+P86,"4,7",23,None,Cao Bằng,"https://lh5.googleusercontent.com/p/AF1QipNbZE_3EjzxnXRNEKlIQGP1kUoZARSy5jnxLeLR, https://lh5.googleusercontent.com/p/AF1QipPnDpfdw0DkNj5x5Mru86hRCCiGPhmcITIjfK10, "
Cơm Phượt Quán Toan,150 Phố Vườn Cam - TP Cao Bằng,"3,9",100,1-100.000 ₫,Cao Bằng,"https://lh5.googleusercontent.com/p/AF1QipMx0SZkYMGANrZtDhTShzLK8riz44bIq5tIZPzT, https://lh5.googleusercontent.com/p/AF1QipMz5DmrcD2qR_onDaowpaszEf2wYJ2gIKz5kTpW, "
Áp Chao Cô Ngân Phố Cũ,138 Phố Cũ,"4,5",46,1-100.000 ₫,Cao Bằng,"https://lh5.googleusercontent.com/p/AF1QipNGLh2eSTzohZAK4oVII_9oSGSPVlhBAlpP8DdT, https://lh5.googleusercontent.com/p/AF1QipOVuDjvH5zfmLlWIwHqyETWD22vgjKJOl_IBa_i, "
Nhà hàng Thu Hằng,83 Đường 3/10,"4,2",19,None,Cao Bằng,"https://lh5.googleusercontent.com/p/AF1QipPVANEz0MdRgl2ZNM1wp9j4WrTqM_iaOkN5Yj3Z, https://lh5.googleusercontent.com/p/AF1QipNjQMkq19-6R8uCJRAtgeVEax2eQJcJXr--E-nR, "
Nhà Hàng Linh Hằng,143 Phố Kim Đồng,"4,1",62,200.000-300.000 ₫,Cao Bằng,"https://lh5.googleusercontent.com/p/AF1QipPSoS5RTqWA7ch_PM2QEQJiNe8b2Hqc0StYj8t3, https://lh5.googleusercontent.com/p/AF1QipO-9ybEJV0RXLAaSrIaeKoqzvgZKHyb_AuMh-GP, "
