name,address,score,reviews count,category,avg price,province,description images
Quán Hạnh,11-15 Đường Phó Đức Chính,"4,3","3,2 N",None,100.000-200.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipO2dUcU_AbPgowSXPVTYrS8OO5srKj2BBlGIDKS, https://lh5.googleusercontent.com/p/AF1QipMG5ztrOTtCThflmPKNA5MDEKT15LudjfCwSx8M, "
Cơm niêu Chạn,1 Nguyễn Thái Học,"4,5","1,5 N",None,100.000-200.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipOxfZghAuuIUQgj321nCG7WtSN2W7aVu2TW01f0, https://lh5.googleusercontent.com/p/AF1QipNMt5Lsn-pvuVsXv66BZDmwUXtw1yh3TuG9XPpJ, "
Bún Bò Huế Sen - Quán ăn sáng chất lượng tại Huế,69 Võ Thị Sáu,"4,8",609,None,1-100.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipOHV0Ms5wj9yFwhXutFGkhNY30lQd66DC46FKAD, https://lh5.googleusercontent.com/p/AF1QipNs0_AjvMCIcrQPifkPtRut3v2SFj8ioqX-r6EA, "
An Nhien Garden Vegetarian - Nhà Hàng & Cafe,11 Tỉnh lộ 10,"4,9",485,None,100.000-200.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipM3x7wc_sIpFUf8nMHNrqXBNT9zFmADjSdayuhD, https://lh5.googleusercontent.com/p/AF1QipNMjWPgXChG5AxtVQTXljKRdtIAr_xP__arXJ46, "
Quán cơm Chị Tẹo,59 Hai Bà Trưng,"3,8",877,None,1-100.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipPeXLhMA0sJAv6yhhuUDrr1wew54bQYKiJaf9YX, https://lh5.googleusercontent.com/p/AF1QipPCW2ZkQxaLQrZHd4y11jdpUC3b5SUb7dSr1Z2F, "
Nhà Hàng Cơm Niêu Khải Hoàn,90-94 Lê Lợi,"4,7","1,4 N",None,100.000-200.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipNyAJC-SwzGLVKKnqWCWJXaKldEJ9vNUrmp9zHA, https://lh5.googleusercontent.com/p/AF1QipOz1yrfq3QhZA6OiLl7X2p5c_Yd6zsfAkqsRp4H, "
Quán Ăn Tài Phú,2 Điện Biên Phủ,"3,9",480,None,1-100.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipMYMtkX2kyb4x7X-qzQ-SVhK3F2AHrvMWS1Qe9I, https://lh5.googleusercontent.com/p/AF1QipMStia6UM_ozVy5ENMXjL4MKkJQ7O9G_U4ede7t, "
Quán Ăn Bà Chanh,9 Trường Chinh,"3,8",340,None,None,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipNjKHGwuHTbQ-WGUGW08DU3jkoqUD4X-QHffD33, https://lh5.googleusercontent.com/p/AF1QipNaviLbinN2H1ENChf5RYGb6UBa1886RsXMPKdx, "
Nhà Hàng Không Gian Xưa Minh Mạng,98 Minh Mạng,"4,1",430,None,100.000-200.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipOA1YxFyh_eHj---k_N9KWRVkFV8fUmWBsf0A1m, https://lh5.googleusercontent.com/p/AF1QipOHAX3QYE1iM9oWvPtD165IvueXIjWMSj5iQhVM, "
Nhà Hàng Cơm Niêu Sen,4 Trần Anh Liên,"4,0",157,None,100.000-200.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipP0ZmfOCVrIo-r9ruDgydaYjcIOkthzpHvk7v_7, https://lh5.googleusercontent.com/p/AF1QipP_9nO8h7jbLIT7_rUA1iiJdxyCywG0zVhU6ZpZ, "
