name,address,score,reviews count,latitude,longitude,province,category,price,discount,services,description images
Cụm Khách sạn Đông Xuyên,"9A Lương Văn Cù, Mỹ Long, Thành phố Long Xuyên, An Giang, Việt Nam","4,1",1.520,10.3823825,105.1523284,An Giang,Khách sạn 3 sao,799.036 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Bồn tắm nước nóng, Spa, ","https://lh5.googleusercontent.com/p/AF1QipNCQT88xnqiuFkd33iOkyV97ABwpt7oa5d9k_Bl, https://lh5.googleusercontent.com/p/AF1QipPyhyOJp2c23Ef0RDBtqAQnVVYFCXnqdGh9_b2c, https://lh5.googleusercontent.com/p/AF1QipPJdzT7gjiWfPLgLjglIcBtgCdtNcXDsiHsS-DT, https://lh5.googleusercontent.com/p/AF1QipP2siV1QwABaG1MyWqkCyNeTuqZsawajcMeUbYU, "
The Luxe Hotel - Châu Đốc | Khách Sạn 3 Sao Gần Chùa Bà,"394 - 396 Tân Lộ Kiều Lương, Châu Phú A, Châu Đốc, An Giang, Việt Nam","4,3",173,10.694283,104.8094843,An Giang,Khách sạn 3 sao,554.641 ₫,Ít hơn 16% so với bình thường,"Wi-Fi miễn phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Phù hợp với trẻ em, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipM3TjlN6S9PWSoCVOLGO2vs4OYUHKDPZhukWRF_, https://lh5.googleusercontent.com/p/AF1QipOEnyqDaPq2EPAVf9uTK8MNNEMN1kDPfmGkFMJ2, https://lh5.googleusercontent.com/p/AF1QipNjXQs-g2XHJqBnOYW_O-iHzyq3jzwHKpCpwnNc, https://lh5.googleusercontent.com/p/AF1QipOlG049Vx8UdLKWxjx2SC5AMGMtxyqX6hPJ14Da, "
Khách sạn Đồng Xanh,"227 Đ. Nguyễn Tri Phương, Khóm Hoà Bình, Châu Đốc, An Giang, Việt Nam","3,9",483,10.6976764,104.8379628,An Giang,Khách sạn 2 sao,319.412 ₫,Không có giảm giá,"Wi-Fi miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Phù hợp với trẻ em, Nhà hàng, ","https://lh5.googleusercontent.com/p/AF1QipMeqsID-AJvZizdq4tux5muL1t9TfJwJygPtda2, https://lh5.googleusercontent.com/p/AF1QipNaoZL-j26fV0WjS6L0pDXYJmgsRFZ7ySUIwwFd, https://lh5.googleusercontent.com/p/AF1QipN7EOtlGtB73iLIBbsO_fF7Yoz-ni1p8D3Dia6F, https://lh5.googleusercontent.com/p/AF1QipMB6BmtorJuOXv5aRuLtx-IB08BUxkfC9OVkVwn, "
LARA HOTEL LONG XUYEN,"46-48 Đ. Hùng Vương, P. Mỹ Phước, Thành phố Long Xuyên, An Giang 881000, Việt Nam","4,5",233,10.3790347,105.1534004,An Giang,Khách sạn,767.201 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Dịch vụ giặt ủi, Nhà hàng, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipNwgScanEeyLXh4Ab7psBO1Rvp4Vn_7L0UqGFyX, https://lh5.googleusercontent.com/p/AF1QipMwQrJ3N0XbvRNDLOTv1xgbvMV-nbyRF9m68dKq, https://lh5.googleusercontent.com/p/AF1QipOpYq1CgPavSXnjeg-TXM8N_fAPGYVeJC5XNxOI, https://lh5.googleusercontent.com/p/AF1QipOLAQ4H1s7sKBmSlUue7Aq0DdCOMlLeznWtSaYE, "
Khách sạn Ngọc Hân,"266 Trà Sư, Nhà Bàng, Tịnh Biên, An Giang 884000, Việt Nam","3,8",235,10.6237649,104.7168433,An Giang,Khách sạn 2 sao,258.661 ₫,Không có giảm giá,"Wi-Fi miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Trung tâm thương mại, Phù hợp với trẻ em, Nhà hàng, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipOAtYwx3A9piYN2pAWdQdSnGFaTv6ENVjAWJzTc, https://lh5.googleusercontent.com/p/AF1QipPGXgS-nd4YfhZRc-Plj3e4XJmIErrT6nLqXwj8, https://lh5.googleusercontent.com/p/AF1QipMjL1iRyT4KhTAWEN1__CQvgquE9K98eyFee2eB, https://lh5.googleusercontent.com/p/AF1QipNoqj5NQ4aDpkpSlGEEAWlpTeDJZBH34sQkjYwr, "
Châu Khương Hotel,"Số 2 Đ. Hà Hoàng Hổ, Phường Mỹ Xuyên, Thành phố Long Xuyên, An Giang 90108, Việt Nam","4,3",235,10.3784365,105.150582,An Giang,Khách sạn 3 sao,1.048.086 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Nhà hàng, Bồn tắm nước nóng, ","https://lh5.googleusercontent.com/p/AF1QipN5sv6H0w0ONzAAnspv_KkilDVS2g2R6qz7KYlg, https://lh5.googleusercontent.com/p/AF1QipMSu1jaMvne5JCldPGgHA1afkOwk4wcX9ysR0BJ, https://lh5.googleusercontent.com/p/AF1QipPIBe_1Am5ZDgUsBHwNS8jE9HMhJ-zJ3iWDxlIZ, https://lh5.googleusercontent.com/p/AF1QipNj58AWnwHj3AEaErhST8cfAjKxy5BafdW3KC1H, "
Khách Sạn Hải Châu,"63 Đ. Sương Nguyệt Anh, Châu Phú A, Châu Đốc, An Giang, Việt Nam","3,8",95,10.7115635,104.8294871,An Giang,Khách sạn 2 sao,350.000 ₫,Không có giảm giá,"Wi-Fi miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Phù hợp với trẻ em, Nhà hàng, ","https://lh5.googleusercontent.com/p/AF1QipNRRsJ2AMVkuuYUsMwECLFSGg0X-0uR3nVreZIs, https://lh5.googleusercontent.com/p/AF1QipOfm9ml8TCeXWb6A3QS2Ew1hA7yQKgqRsA3uVSE, https://lh5.googleusercontent.com/p/AF1QipM0cxxpqCcef2vWdTgMwQa0xQQsiFikeUuQruf7, https://lh5.googleusercontent.com/p/AF1QipODgMsJbvQNL-vKB6dESdfv7goFe2qH0DpO9sS0, "
Khách sạn Victoria Châu Đốc,"1 Đ. Lê Lợi, Châu Phú B, Châu Đốc, An Giang, Việt Nam","4,8",2.980,10.7080956,104.8360777,An Giang,Khách sạn 4 sao,2.333.792 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Xe đưa đón ra sân bay, Bồn tắm nước nóng, Spa, Trung tâm thể dục, Quán bar, ","https://lh5.googleusercontent.com/p/AF1QipPbJr9TVO6Pye8p_XNC8qqE4UU7pu-sDJJmexgu, https://lh5.googleusercontent.com/p/AF1QipOcYx6fZM8APJm3gb63g1IbDpWJTkHaffIE-O7J, https://lh5.googleusercontent.com/p/AF1QipOvx2-UI8HySn24DjBJgOuc-BIo2UEEnq6kL85W, https://lh5.googleusercontent.com/p/AF1QipMUGXqR86cIGSmG62CxDlvGfJo5pyagpg62Nee5, "
HOTEL BẢO QUÂN - Núi Sam - Châu Đốc,"Đường Số 1, P. Núi Sam, Châu Đốc, An Giang, Việt Nam","4,3",83,10.68227,104.7961861,An Giang,Khách sạn,265.452 ₫,Không có giảm giá,,"https://lh5.googleusercontent.com/p/AF1QipMow_h6E0JWyXO9KoC-4orODDTmd_Tess5mk3o, https://lh5.googleusercontent.com/p/AF1QipN-Eg_MyEPVBTsEix7ed5xq1ZNHgO_Wcu2sisU, https://lh5.googleusercontent.com/p/AF1QipNyaniq8OpBc75qQ4A5LqRsXcVwHpUADUxQZU8, https://lh5.googleusercontent.com/p/AF1QipOUcJrVyrg5WydhjDkM2yw-cfRPAkg__jIWIvc, "
Khách sạn Paris Châu Đốc,"Đ. Trần Nguyên Hãn Đường Số 2, Châu Phú B, Châu Đốc, An Giang, Việt Nam","4,6",29,10.7068434,104.8356094,An Giang,Khách sạn,747.657 ₫,Không có giảm giá,,"https://lh5.googleusercontent.com/p/AF1QipNKBjYRv8MKVTYL5qm6lIbd-7XsckmxPSpqmtw, https://lh5.googleusercontent.com/p/AF1QipOOcjPqmDdSqiJyPBuqOBGQW9hu_1vZ7dLTbZM6, https://lh5.googleusercontent.com/p/AF1QipOY_vFSdk9rhNpErXtPied9hzny_yAgo7GiDmqd, https://lh5.googleusercontent.com/p/AF1QipMPwr66Eb__foUIAND6ykKsPrX23Ic63XDQKLmz, "
