hotel,price,score,avg review,reviews count,province,address,description images
Elites Hotel,VND 612.000,"Đạt điểm 9,0",Tuyệt hảo,203,Đà Nẵng,"187 Ho Nghinh, Phuoc My, Son Tra, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/571581798.jpg?k=3e6a94da154f6de7d7dba05fc563afba400237500218f860c9d5fa63cc5458de&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/585257843.jpg?k=9ad75bed565f571a408b496b8ca7bf353b9e0c59ba071e35675a720c6794123a&o=&hp=1, "
Le Indochina Hotel & Beach Da Nang City,VND 403.200,"Đạt điểm 8,0",Rất tốt,496,Đà Nẵng,"91 Ho Xuan Huong, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/560052722.jpg?k=be1c24ddea61bd7c07ca84961933f68f2c5baf97edc910e609611740f1120d60&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/582516534.jpg?k=f6ff652831cc269f80caf7727b2a0e9613d182377949a066552542e47920fded&o=&hp=1, "
Bantique Hotel,VND 405.080,"Đạt điểm 8,0",Rất tốt,495,Đà Nẵng,"17 Phạm Văn Đồng, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/536106970.jpg?k=9e6b60fb19ba85ccf1e8821f8a4eb14323e2bd75c3958d1b1584477c06b0d862&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/536106236.jpg?k=5f39131ed2b3c60b745997186a5b0c1f4a25eec98022b61db4b9eb4a0daddec3&o=&hp=1, "
Nostalgia Boutique Hotel,VND 388.800,"Đạt điểm 8,3",Rất tốt,749,Đà Nẵng,"11A Ho Xuan Huong Street, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/578752474.jpg?k=4abbabd9102c4d9f7de5c3dd8bdcef76eeae702e108231cfcfeb8e16cad55ac5&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/578751027.jpg?k=d810cd9b720e4d13cd631bcb85d586cb7e3757e7cef98c3b8a27678fbbeb35be&o=&hp=1, "
Hai Trieu Hotel,VND 440.000,"Đạt điểm 8,5",Rất tốt,979,Đà Nẵng,"18 - 20 Loseby , Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/382886050.jpg?k=d4c482b0dbf490cfe1845a931e5d339b2b3f8584a95ad15b35c458d5d3299d78&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/511773429.jpg?k=93521587827d195abd83e6e2cd941fd4033ff3fc4b1a479a0af1ec5dc017a55f&o=&hp=1, "
AOA Danang Beach Hotel,VND 512.000,"Đạt điểm 8,3",Rất tốt,648,Đà Nẵng,"Lô 42 - 43 Trần Bạch ĐẰng, phường Mỹ An, quận Ngũ Hành Sơn Đà Nẵng Lô 42 - 43, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/362812524.jpg?k=ddaedc1ddd8d340e8cf40d7dbfa301e3e66505b92c5167b1da75d5f4884b2fd6&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/415898592.jpg?k=f34d31c442d8d065c1aefc72906bbf5c9547ff03a1a1db0dd1c6daea35aabf57&o=&hp=1, "
Gold Time Hotel Da Nang,VND 412.776,"Đạt điểm 7,8",Tốt,533,Đà Nẵng,"55 Đỗ Bá, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/593663142.jpg?k=587defe5916d53a268c8d4ab75a0bc28d6b2dd374330e5e99777234af12676ac&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/493407942.jpg?k=a3e73a01288ff7337a7612804c50b3d2fcd173adc64da5ff56337fca62e6c987&o=&hp=1, "
May Beach Hotel,VND 500.000,"Đạt điểm 8,7",Tuyệt vời,533,Đà Nẵng,"22-23 Đỗ Bá, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/514308835.jpg?k=7e0508dc50586cccc6b6b3ffd411b955816b99de0c60221d04a3319d4c430705&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/514309036.jpg?k=40b6a1a4495ab6600d2335ed0ef4d4739e910bc90cc654a28cbfbefea7f184c9&o=&hp=1, "
Trang Ngan Hotel by THG,VND 450.000,"Đạt điểm 8,6",Tuyệt vời,454,Đà Nẵng,"62 An Thuong 26, My An Ward, Ngu Hanh Son District, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/117739065.jpg?k=402f3e2a34739f6073f1b14b22ce58975c894ae2dafeb267238c82e04adf4eb6&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/250240556.jpg?k=c6f21bb5904a2daec8230cba1ad0128a5302e8350361fe24ad39d3a1df4d073b&o=&hp=1, "
Star Hotel Đà Nẵng,VND 495.000,"Đạt điểm 9,3",Tuyệt hảo,96,Đà Nẵng,"42 Loseby, Son Tra District, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/590817479.jpg?k=84eec619dc4d6854d863e8679f1b1464cb8b7ad7c6064357276e1c428c3e2ff6&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/590553183.jpg?k=d328fe296361f0bbbd3c67549630cd6e9f585a89c7ca6cf00bb2a8443e4c7f89&o=&hp=1, "
Vitalis Riverside Hotel,VND 420.000,"Đạt điểm 8,0",Rất tốt,211,Đà Nẵng,"105 Tran Hung Dao, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/151001989.jpg?k=ffd5246f6bae844535fa96a0b8f488fd23d18ee0b91310018cee987c69101afb&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/340463417.jpg?k=7b283405afe4fe02d3501626bad217c3c196490ca3624d9e28aa6d9d2ba08f38&o=&hp=1, "
Phuc Thanh Luxury Hotel by THG,VND 470.000,"Đạt điểm 8,8",Tuyệt vời,1.147,Đà Nẵng,"Le Quang Dao A.39, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/293433476.jpg?k=da1710d6684209537946424c7d67a02b3c82ca386eac51af9706bee8bb75d578&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/418246128.jpg?k=365c28bdebec9639f6fdff8ed392611769ebe4bb94f8bd55ec3418dc9bdea12d&o=&hp=1, "
